,name,name_eng,problems,category,subcategory
75952,현대모비스기아부품대리점 동서상사,"Hyundai Mobis Kia Parts Agency Dongseo Trading Co., Ltd.","('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
80588,현대모비스기아부품대리점 남양상사,Hyundai Mobis Kia Parts Distributor Namyang Corporation,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
83094,현대모비스부품대리점 대일상사,"Hyundai Mobis Parts Distributor Daeil Trading Co., Ltd.","('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
89244,현대모비스현대부품대리점 미래상사,"Hyundai Mobis Hyundai Parts Distributor Mirae Trading Co., Ltd.","('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
96967,쉐보레부품대리점정품상사,Chevrolet parts dealer,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
100335,현대모비스현대부품대리점효성부품,Hyundai Mobis Hyundai Parts AgencyHyosung Parts,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
105383,현대모비스현대기아부품대리점 무림상사,"Hyundai Mobis Hyundai Kia Parts Distributor Moorim Trading Co., Ltd.","('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
106461,현대모비스기아부품대리점기아영화상사,"Hyundai Mobis, Kia Parts Distributor, Kia Film Corporation","('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
109920,쉐보레 쌍용자동차부품대리점 미주상사,"Ssangyong Auto Parts Distributor America Trading Co., Ltd.","('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
111965,현대모비스 현대기아부품대리점 신진상사,"Hyundai Mobis Hyundai Kia Parts Distributor Shinjin Trading Co., Ltd.","('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
112097,쌍용자동차 서인천부품대리점,Ssangyong Motor Seoincheon Parts Dealership,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
112950,현대모비스현대부품대리점 현대종합상사,Hyundai Mobis Hyundai Parts Distributor Hyundai Corporation,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
125707,쉐보레자동차부품대리점경기상사,Chevrolet auto parts dealer Gyeonggi boss,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
126282,성원차유리,Seongwon Cha Yuri,"('유리', 'Glass')",Shops and Service,Auto Parts
128760,현대모비스현대부품대리점계양현대센타,Hyundai Mobis Hyundai Parts Agency Gyeyang Hyundai Center,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
129886,르노코리아부품대리점 르노상사,Renault Korea Parts Distributor Renault Corporation,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
132664,쉐보레부품대리점검단센타,Chevrolet Parts Agency Inspection Center,"('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
145860,현대모비스기아부품대리점경원상사,"Hyundai Mobis and Kia Parts Agency Kyungwon Trading Co., Ltd.","('대리점', 'Authorized Reseller')",Shops and Service,Auto Parts
