,name,name_eng,problems
57100,바른정육점,Barun Butcher,"[('정육', 'Fresh meat')]"
57985,태근이네정육점,Taegeun's butcher shop,"[('정육', 'Fresh meat')]"
58370,수도정육점,water butcher shop,"[('정육', 'Fresh meat')]"
59198,한국유통정육,Korean meat distribution,"[('정육', 'Fresh meat')]"
60168,보혜정육점,Bohye Butcher Shop,"[('정육', 'Fresh meat')]"
60380,에이스미트,ace mit,"[('미트', 'Meat')]"
61738,우리정육점,our butcher shop,"[('우리', 'Uri'), ('정육', 'Fresh meat')]"
62167,막뚱이정육점,makttung butcher shop,"[('정육', 'Fresh meat')]"
62535,해드림정육점,Hadream Butcher,"[('정육', 'Fresh meat')]"
63102,친절한 정육점,friendly butcher shop,"[('정육', 'Fresh meat')]"
63141,장터정육점,Market Butcher Shop,"[('정육', 'Fresh meat')]"
64976,우진정육점,Woojin Butcher,"[('정육', 'Fresh meat')]"
65299,초록한우,Green Korean Beef,"[('한우', 'Hanwoo')]"
66104,항도정육점,Hango Butcher Shop,"[('정육', 'Fresh meat')]"
66439,삼화정육백화점,Samhwa Jeongyuk Department Store,"[('정육', 'Fresh meat')]"
68354,일조정육점,Iljeong Butcher Shop,"[('정육', 'Fresh meat')]"
68597,신도매정육점,new wholesale butcher shop,"[('정육', 'Fresh meat')]"
70415,엄마손정육점,mom's butcher shop,"[('정육', 'Fresh meat')]"
70574,영신정육점,Youngshin butcher shop,"[('정육', 'Fresh meat')]"
70803,산에들에정육점,Butcher shop in the mountains,"[('정육', 'Fresh meat')]"
71208,명품한우마을,Luxury Korean Beef Village,"[('한우', 'Hanwoo')]"
71398,한우판매장,Korean beef store,"[('한우', 'Hanwoo')]"
71921,금호정육점,Kumho Butcher Shop,"[('정육', 'Fresh meat')]"
72055,홍성한우정육점,Hongseong Hanwoo Butcher Shop,"[('정육', 'Fresh meat')]"
73299,대우정육점,Daewoo Butcher,"[('정육', 'Fresh meat')]"
73608,하나정육점,Hana Butcher Shop,"[('정육', 'Fresh meat')]"
73743,효성정육점,Hyosung Butcher Shop,"[('정육', 'Fresh meat')]"
76281,정육편의점 영종도6호점,Butcher convenience store Yeongjongdo 6th branch,"[('정육', 'Fresh meat')]"
76892,하나정육점,Hana Butcher Shop,"[('정육', 'Fresh meat')]"
78060,다드림정육,Dadim Butcher,"[('정육', 'Fresh meat')]"
79354,강화섬약쑥한우,Ganghwa Spicy Korean Beef,"[('한우', 'Hanwoo')]"
79561,백년숯불정육식당,cattle pig sleeve,"[('정육', 'Fresh meat')]"
80262,전통한우,traditional Korean beef,"[('한우', 'Hanwoo')]"
80438,강화섬한우,Ganghwa Island Korean Beef,"[('한우', 'Hanwoo')]"
80648,토종한우랑한돈,Local Korean Beef and Korean Don,"[('한우', 'Hanwoo')]"
80737,둥이네정육점,dungine butcher shop,"[('정육', 'Fresh meat')]"
81074,참착한총각네축산,Four hardworking bachelor's livestock,"[('총각', 'Chonggak')]"
81148,주안정육타운,Juan Meat Town,"[('정육', 'Fresh meat')]"
81471,장단정육점,Jangdan Butcher Shop,"[('정육', 'Fresh meat')]"
82560,인천도매정육점,Incheon Wholesale Butcher,"[('인천', 'Inchone'), ('정육', 'Fresh meat')]"
83422,두총각네축산당하점,Two Bachelors Four Chuksan Dangha Branch,"[('축산', 'Livestock'), ('총각', 'Chonggak')]"
83487,대림축산생닭전문점,Daelim Live Chicken Specialty Store,"[('축산', 'Livestock')]"
83546,신축산도매,new construction wholesale,"[('축산', 'Livestock')]"
83878,우리닭집,our chicken coop,"[('우리', 'Uri')]"
84429,현대정육점,Hyundai Butcher,"[('정육', 'Fresh meat')]"
84566,주부정육백화점,housewife butcher Department store,"[('정육', 'Fresh meat')]"
84695,황해정육점,Hwanghae Butcher Shop,"[('정육', 'Fresh meat')]"
85064,평원정육점,PyeongwonButcher Shop,"[('정육', 'Fresh meat')]"
85435,으뜸한우정육점,Best Korean Beef butcher shop,"[('한우', 'Hanwoo'), ('정육', 'Fresh meat')]"
85509,광명정육점,Gwangmyeong Butcher Shop,"[('정육', 'Fresh meat')]"
86303,참우리한우,Chamwoori Korean Beef,"[('한우', 'Hanwoo'), ('우리', 'Uri')]"
87063,우리축산,our livestock,"[('우리', 'Uri')]"
87237,우리한우축산프라자,Woori Hanwoo Livestock Plaza,"[('우리', 'Uri')]"
87728,올바른정육점,right butcher shop,"[('정육', 'Fresh meat')]"
87999,생생한우와한돈,Live Wow Handon,"[('한우', 'Hanwoo')]"
88862,대영정육백화점,Daeyoung Meat Department Store,"[('정육', 'Fresh meat')]"
90290,한우리축산물도매센타,Hanwoori  Livestock Products  Wholesale Center,"[('우리', 'Uri')]"
90368,안동한우촌,Andong Korean Beef Village,"[('한우', 'Hanwoo')]"
90439,역전정육점,station butcher shop,"[('정육', 'Fresh meat')]"
90695,농협안심축산물전문점 인천구월시장점,Nonghyup Anshim Livestock Specialty Store Incheon Guwol Market,"[('인천', 'Inchone')]"
91100,두리미트,do limit,"[('미트', 'Meat')]"
91120,한우랑돼지랑,Korean beef and pork,"[('한우', 'Hanwoo')]"
91429,제일정육백화점,Jeil Beef Department Store,"[('정육', 'Fresh meat')]"
92524,천재정육점,genius butcher shop,"[('정육', 'Fresh meat')]"
92682,호뚱이네정육점,Hotung's  Butcher,"[('정육', 'Fresh meat')]"
92822,참좋은착한정육점 구월점,Very good and good butcher shop  Guwol,"[('정육', 'Fresh meat')]"
92973,프레시안정육점 대성유통,Fresh stable butcher shop  Daesung Distribution,"[('정육', 'Fresh meat')]"
93018,풍년식품정육점,Poongnyeon Food Butcher Shop,"[('정육', 'Fresh meat')]"
94801,I포크축산 인천본점,I Pork Livestock  Incheon Main Branch,"[('인천', 'Inchone')]"
94964,동문정육점,Dongmun Butcher,"[('정육', 'Fresh meat')]"
95773,금호정육점,Kumho Butcher Shop,"[('정육', 'Fresh meat')]"
96890,안성한우,Anseong Korean Beef,"[('한우', 'Hanwoo')]"
97176,우리네축산,our livestock,"[('우리', 'Uri')]"
97781,기천순우리토종한우,Kicheon Soon-uri Native Korean Beef,"[('한우', 'Hanwoo')]"
97814,대세정육점,Daese Butcher Shop,"[('정육', 'Fresh meat')]"
97913,봉쥬르착한정육점,Bonjour Chakhan Butcher Shop,"[('정육', 'Fresh meat')]"
98060,부영정육백화점,Booyoung Jeongyuk Department Store,"[('정육', 'Fresh meat')]"
98424,제일정육점,Cheil Butcher Shop,"[('정육', 'Fresh meat')]"
98728,부부정육점,couple butcher shop,"[('정육', 'Fresh meat')]"
99633,뽀미정육점,pomi butcher shop,"[('정육', 'Fresh meat')]"
102478,한우나라,Korean beef,"[('한우', 'Hanwoo')]"
103287,송도정육백화점,Songdo Butcher's Department Store,"[('정육', 'Fresh meat')]"
103311,한우농가정육점,Hanwoo farmhouse butcher shop,"[('정육', 'Fresh meat')]"
103771,한아름정육점,Hana Reum Butcher Shop,"[('정육', 'Fresh meat')]"
104074,황해정육점,Hwanghae Butcher Shop,"[('정육', 'Fresh meat')]"
104293,정직한총각네축산부개점,Honest bachelor's four livestock department opened,"[('총각', 'Chonggak')]"
104569,장터정육백화점,Marketplace Meat Department Store,"[('정육', 'Fresh meat')]"
104776,바른정육,Bareun meat,"[('정육', 'Fresh meat')]"
104968,송연정육점,Songyeon Butcher Shop,"[('정육', 'Fresh meat')]"
105585,명품한우마을,Luxury Korean Beef Village,"[('한우', 'Hanwoo')]"
105879,정가네정육점,JeonggaNe Butcher Shop,"[('정육', 'Fresh meat')]"
106414,한냉정육점,cold butcher shop,"[('정육', 'Fresh meat')]"
107290,일등한우축산,First-class Korean beef livestock,"[('한우', 'Hanwoo')]"
107298,한우랑정육타운,Korean Beef Rang  Butcher Town,"[('한우', 'Hanwoo'), ('정육', 'Fresh meat')]"
107510,우주정육점,Space Butcher Shop,"[('정육', 'Fresh meat')]"
108926,정육점입니다,butcher shop,"[('정육', 'Fresh meat')]"
109599,국제정육백화점,international meat Department store,"[('정육', 'Fresh meat')]"
109660,우리정육점,our butcher shop,"[('우리', 'Uri'), ('정육', 'Fresh meat')]"
110320,한성정육도매점 부평본점,Hanseong Butcher Wholesale Store Bupyeong Main Store,"[('정육', 'Fresh meat')]"
110407,대구식품정육,Daegu Food Meat,"[('정육', 'Fresh meat')]"
111708,일송정육점,Ilsong Butcher Shop,"[('정육', 'Fresh meat')]"
111772,대림축산 롯데백화점인천점,Daelim Livestock Lotte Department Store Incheon,"[('인천', 'Inchone')]"
111813,고운노을정육점,Gounnoeul Butcher Shop,"[('정육', 'Fresh meat')]"
112907,정육점,butcher shop,"[('정육', 'Fresh meat')]"
113744,두지종합축산정육백화점,Dooji General Livestock and Meat Department Store,"[('정육', 'Fresh meat')]"
114168,화도정육점,Hwado Butcher Shop,"[('정육', 'Fresh meat')]"
115395,인천강화옹진축산농협 축산물판매장,Incheon Ganghwa Ongjin Livestock Agricultural Cooperative  Livestock Products Store,"[('인천', 'Inchone')]"
117457,농축산물도매시장,Agricultural Products Wholesale Market,"[('축산', 'Livestock'), ('축산물', 'Livestock')]"
117815,대성정육점,Daesung Butcher,"[('정육', 'Fresh meat')]"
118146,은성정육프라자,Eunseong Butcher Plaza,"[('정육', 'Fresh meat')]"
118699,해동정육점,Haedong Butcher Shop,"[('정육', 'Fresh meat')]"
119130,단골정육점,regular butcher shop,"[('정육', 'Fresh meat')]"
119572,총각네푸줏간,Bachelor's butcher shop,"[('총각', 'Chonggak')]"
120845,에이미트 인천점,Amit  Incheon Branch,"[('미트', 'Meat'), ('인천', 'Inchone')]"
122499,우리도매정육점,our wholesale butcher shop,"[('우리', 'Uri'), ('정육', 'Fresh meat')]"
124334,한우면돼지,Korean beef noodle,"[('한우', 'Hanwoo')]"
125196,정직한총각네축산,Honest Bachelor's Livestock,"[('총각', 'Chonggak')]"
125398,한우랑돼지랑정육백화점,Hanwoo and Pork and Meat Department Store,"[('정육', 'Fresh meat')]"
126201,큰집정육점,big house butcher shop,"[('정육', 'Fresh meat')]"
126215,한우랑돼지랑정육백화점계산점,Korean beef and pork butcher shop calculation point,"[('한우', 'Hanwoo'), ('정육', 'Fresh meat')]"
126264,성심정육점,Sacred Heart Butcher Shop,"[('정육', 'Fresh meat')]"
126726,한우9900,Korean beef 9900,"[('한우', 'Hanwoo')]"
127366,인천축산,Incheon Livestock,"[('인천', 'Inchone')]"
127637,우리동네정육점효성점,Our neighborhood butcher shop Hyosung,"[('우리', 'Uri'), ('정육', 'Fresh meat')]"
128528,우리축산,our livestock,"[('우리', 'Uri')]"
129401,동보한우촌,Dongbo Korean beef village,"[('한우', 'Hanwoo')]"
130358,인천축협한우전문매장연수점,Incheon Livestock Cooperative Hanwoo Specialty Store Yeonsu Branch,"[('인천', 'Inchone')]"
130744,명품한우농장정육점,Luxury Korean Beef Farm butcher shop,"[('한우', 'Hanwoo'), ('정육', 'Fresh meat')]"
130911,명품우리한우,Premium Korean Beef,"[('한우', 'Hanwoo'), ('우리', 'Uri')]"
131109,정육점입니다,butcher shop,"[('정육', 'Fresh meat')]"
131203,기천신토불이한우 효성점,Gicheon Shintobuli Korean Beef Hyosung Branch,"[('한우', 'Hanwoo')]"
131286,경동정육점,Gyeongdong Butcher Shop,"[('정육', 'Fresh meat')]"
131421,덕유산한우직거래장터,Deogyusan Korean Beef direct market,"[('한우', 'Hanwoo')]"
131556,ok목장정육점,ok ranch butcher shop,"[('정육', 'Fresh meat')]"
132375,꿀꿀이정육점,Honey Honey Butcher Shop,"[('정육', 'Fresh meat')]"
132388,우리정육마트,Woori Butcher Mart,"[('우리', 'Uri'), ('정육', 'Fresh meat')]"
132428,하늘정육점 오션하임점,"Sky Butcher, Oceanheim","[('정육', 'Fresh meat')]"
134161,우리축산물할인매장,our livestock discount store,"[('우리', 'Uri')]"
134579,우리한우도매센터 산곡점,Woori Korean Beef Wholesale Center Sangokjeom,"[('한우', 'Hanwoo'), ('우리', 'Uri')]"
135814,착한정육점,good butcher shop,"[('정육', 'Fresh meat')]"
136292,한우리축산,Hanwoori Livestock,"[('우리', 'Uri')]"
136306,귤현한우마을,Gyulhyeon Korean Beef Village,"[('한우', 'Hanwoo')]"
136993,우성정육점,Woosung Butcher,"[('정육', 'Fresh meat')]"
137766,형제정육점,brother butcher shop,"[('정육', 'Fresh meat')]"
138079,한우랑돼지랑,Korean beef and pork,"[('한우', 'Hanwoo')]"
138364,인천강화옹진축협 옥련판매장,Incheon Ganghwa Ongjin Livestock Cooperative Ongryeon Store,"[('인천', 'Inchone')]"
138493,대도정육점,Daedo Butcher Shop,"[('정육', 'Fresh meat')]"
138682,건호축산물백화점 인천본점,Konho Livestock Department Store  Incheon Main Branch,"[('인천', 'Inchone')]"
139354,대영정육백화점,Daeyoung Meat Department store,"[('정육', 'Fresh meat')]"
139878,청학정육점,Cheonghak Butcher Shop,"[('정육', 'Fresh meat')]"
139902,명품한우한돈도매센터 인천점,Luxury Hanwoo Handon Wholesale Center Incheon Branch,"[('인천', 'Inchone')]"
140024,검단수입쇠고기,Geomdan Imported Beef,"[('고기', 'Meat')]"
140924,우리축산,our livestock,"[('우리', 'Uri')]"
141528,착한정육,good meat,"[('정육', 'Fresh meat')]"
143006,보은정육점,Boeun Butcher Shop,"[('정육', 'Fresh meat')]"
143138,충남도매정육점,Chungnam Wholesale butcher shop,"[('정육', 'Fresh meat')]"
143548,제물포정육점,JemulpoButcher Shop,"[('정육', 'Fresh meat')]"
143621,대육정육점,big meat butcher shop,"[('정육', 'Fresh meat')]"
144105,보람정육점,Boram Butcher,"[('정육', 'Fresh meat')]"
144755,한우장터,Korean beef market,"[('한우', 'Hanwoo')]"
146063,명품한우정육점,Luxury Korean Beef Butcher Shop,"[('한우', 'Hanwoo'), ('정육', 'Fresh meat')]"
146236,우리닭집,our chicken coop,"[('우리', 'Uri')]"
146634,한우사랑,Korean beef love,"[('한우', 'Hanwoo')]"
