,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
7550,7551,1872359,한빛안경콘택트,,Hanbit Glasses Contact,Shops and Service,Optical,126.6800587528629,37.45370877402127,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,미추홀대로,632,1474,2022-05-01 12:37:48,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
7995,7996,2614690,그린안경콘택트,,Green Glasses Contact,Shops and Service,Optical,126.6795275911229,37.466541437276966,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,길파로,10,24-12,2022-08-18 12:00:50,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
9172,9173,3253360,신세기안경 논현점,,Shinsegi Glasses Nonhyeon Branch,Shops and Service,Optical,126.72632475268291,37.39213526780406,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,에코중앙로,165,757-1,2022-08-12 13:15:03,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
10234,10235,465171,다비치안경 작전점,DAVICH 작전점,Davichi Glasses Jakjeon Store,Shops and Service,Optical,126.73800082309492,37.5315141762773,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,오조산로,7,910-7,2022-08-24 14:41:06,"쇼핑,편의||패션잡화||안경,렌즈||안경원||다비치안경",False
10317,10318,27147447,아프리카안경원 뉴코아아울렛 인천점,,Afreeca Ophthalmology Center New Core Outlet Incheon Branch,Shops and Service,Optical,126.70070404689888,37.444027311420164,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인하로,485,1465-1,2022-05-01 12:37:48,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
10554,10555,5688315,더글라스 페이스샵,,Douglas Face Shop,Shops and Service,Optical,126.6756235641202,37.565495410970094,대한민국,KOR,KOR,인천광역시,서구,,검암동,,승학로,503,598-7,2022-08-18 12:00:50,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
10761,10762,2608734,글라스박스 산곡점,GLASSBOX 산곡점,Glass Box Sangokjeom,Shops and Service,Optical,126.70280799999992,37.50416199999981,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,마장로,287,182,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||글라스박스",False
11082,11083,4359289,안경마을원당점,,Glasses Village Wondang Branch,Shops and Service,Optical,126.69495727591888,37.594243463741925,대한민국,KOR,KOR,인천광역시,서구,,원당동,,원당대로,841,824-2,2022-08-12 13:15:03,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
11248,11249,1851359,안경박사 용현점,,Dr. Glasses Yonghyeon Branch,Shops and Service,Optical,126.63762269684716,37.45159154741572,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,낙섬중로38번길,1,617-56,2022-08-18 12:00:50,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경박사",False
11262,11263,3465800,글라스스토리 인천임학점,,Glass Story Incheon Immunization Credit,Shops and Service,Optical,126.74130275213192,37.548011341314925,대한민국,KOR,KOR,인천광역시,계양구,,병방동,,장제로,916,119-1,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||글라스스토리",False
14766,14767,27184579,시호비전 롯데마트 부평점,,Siho Vision Lotte Mart Bupyeong Branch,Shops and Service,Optical,126.70412327214989,37.50499558004319,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,마장로,296,159-52,2022-08-08 10:29:42,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
15442,15443,27068813,밝은눈 구월점,,bright eyes guwol,Shops and Service,Optical,126.7015921758859,37.443605335349275,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인하로,497-5,1469-1,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
15512,15513,3439857,OK안경 석바위점,오케이안경 석바위점,OK Glasses Seokbawi Branch,Shops and Service,Optical,126.6892962732449,37.45941299221657,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,경원대로,857-1,999-7,2022-05-01 12:37:48,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
16599,16600,4345053,다인안경,,multiple glasses,Shops and Service,Optical,126.73587643748594,37.40501837229667,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,포구로,73,109-94,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
16649,16650,4340384,아이젠트리 인천청라점,,Igentry Incheon Cheongna Branch,Shops and Service,Optical,126.64638533745988,37.531929582004686,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라커낼로260번길,15,158-2,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
17137,17138,27181388,으뜸50안경 인천구월점,,Best 50 Glasses Incheon Guwol Branch,Shops and Service,Optical,126.70153976184493,37.44519955248767,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,성말로,10,1463,2022-05-01 12:37:48,"쇼핑,편의||패션잡화||안경,렌즈||안경원||으뜸50안경",False
18516,18517,1869688,아이비전안경,,ivision glasses,Shops and Service,Optical,126.67275765494588,37.51168587357019,대한민국,KOR,KOR,인천광역시,서구,,석남동,,가정로,302,457-4,2022-08-24 14:41:06,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
20940,20941,4323589,그랑프리안경콘택트 시청역점,,Grand Prix Glasses Contact City Hall Station,Shops and Service,Optical,126.69713644659409,37.4570627587451,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,구월로,62,508-119,2022-05-01 12:37:48,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
21233,21234,2601580,안경박사 신포점,,Dr. Glasses Sinpo,Shops and Service,Optical,126.62605149999992,37.471779599999785,대한민국,KOR,KOR,인천광역시,중구,,신포동,,개항로,32,43,2022-08-18 12:00:50,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
22001,22002,1259481,인천안경백화점,안경백화점,Incheon Glasses Department Store,Shops and Service,Optical,126.6647609429209,37.44391122724287,대한민국,KOR,KOR,인천광역시,미추홀구,,학익동,,한나루로,407,261-36,2022-05-01 12:37:48,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
22041,22042,5706533,밝은눈안경 인천아시아드점,밝은눈안경콘택트아시아드점,Bright Eye Glasses Incheon Asiad Branch,Shops and Service,Optical,126.70985285151691,37.441810869695765,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,선수촌공원로,33,1533-5,2022-08-12 13:15:03,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
22153,22154,4342568,밝은눈안경 논현점,밝은눈안경콘택트논현점,Bright Eye Glasses Nonhyeon Branch,Shops and Service,Optical,126.72435734341911,37.402123785209625,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,논고개로,120,616-1,2022-08-18 12:00:50,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
22456,22457,27163450,아이그라운드안경,,eye ground glasses,Shops and Service,Optical,126.62267754695021,37.41507433795813,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,랜드마크로,68,311,2022-08-30 9:43:30,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
22458,22459,3440922,글라스월드 논현점,글라스스토리안경인천논현점,Glass World Nonhyeon,Shops and Service,Optical,126.72468542240992,37.399706367610875,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,논고개로,93,649-4,2022-08-30 9:43:30,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
23673,23674,3439716,리치안경콘택트,,Rich Glasses Contact,Shops and Service,Optical,126.73951926935996,37.486987321198,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,수변로,4-1,304-1,2022-08-24 14:41:06,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
23838,23839,1260434,선학안경콘택트안경,선학콘택트렌즈 선학점,Sunhak Glasses Contact Glasses,Shops and Service,Optical,126.6974468851959,37.42364539930876,대한민국,KOR,KOR,인천광역시,연수구,,선학동,,학나래로6번길,14,412-7,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
24631,24632,27172630,하늘도시미루안경,,sky city mirror glasses,Shops and Service,Optical,126.5573698801578,37.48738534522417,대한민국,KOR,KOR,인천광역시,중구,,중산동,,하늘달빛로,94,1875-3,2022-08-12 13:15:03,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
25781,25782,5676794,다비치안경 보청기 인천연수점,DAVICH연수점,Davichi Glasses Hearing Aid Incheon Yeonsu Branch,Shops and Service,Optical,126.67900009999993,37.41409689999976,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,용담로,129-1,607-11,2022-09-06 15:18:26,"쇼핑,편의||패션잡화||안경,렌즈||안경원||다비치안경",False
25947,25948,2594586,한국안경원,,Korea Optometry,Shops and Service,Optical,126.73310495642691,37.48497958956318,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,경인로1024번길,42,245-13,2022-05-01 12:37:48,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
26744,26745,2620446,에덴안경원,,eden optician,Shops and Service,Optical,126.6792532430139,37.46709088982696,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,길파로,15,14-53,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
27075,27076,27007827,오늘안경맑음 검단신도시점,,Today's Glasses Clear Geomdan New Town,Shops and Service,Optical,126.71259949999988,37.59390279999983,대한민국,KOR,KOR,인천광역시,서구,,원당동,,이음대로,378,468,2022-09-06 15:18:26,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
27438,27439,2513585,안경사랑,,love for glasses,Shops and Service,Optical,126.7159053293579,37.43121710499808,대한민국,KOR,KOR,인천광역시,남동구,,남촌동,,남촌동로3번길,35,332-6,2022-05-01 12:37:48,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
29201,29202,27173514,아프리카LAB안경원,,africa lab optician,Shops and Service,Optical,126.7252041254369,37.400513625084855,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,청능대로,596,650-1,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
29202,29203,1270942,이상운안경콘택트,이상운콘택트,Sangwoon Glasses Contact,Shops and Service,Optical,126.72518926172364,37.54366371701717,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,경명대로,1063,929-4,2022-08-26 9:52:19,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
29487,29488,5671011,다비치안경 보청기 부평산곡점,DAVICH부평산곡점,Davichi Glasses Hearing Aid Bupyeongsangok Branch,Shops and Service,Optical,126.70369039999991,37.50581299999982,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,마장로,312,100-102,2022-09-06 15:18:26,"쇼핑,편의||패션잡화||안경,렌즈||안경원||다비치안경",False
30790,30791,3122304,밝은눈안경 논현호구포역점,밝은눈안경콘택트 논현호구포역점,Bright Eye Glasses Nonhyeonhogupo Station Branch,Shops and Service,Optical,126.7097328259389,37.40271701720336,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,호구포로,221,647-1,2022-09-06 15:18:26,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
30947,30948,5720186,아이홀릭안경원 서창점,,iHolic Optician Seochang,Shops and Service,Optical,126.74856359868792,37.42563830031626,대한민국,KOR,KOR,인천광역시,남동구,,서창동,,서창남로,71,687-1,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
31070,31071,4358589,일신안경뱅크,,Ilshin Glasses Bank,Shops and Service,Optical,126.74400132649797,37.48526409431718,대한민국,KOR,KOR,인천광역시,부평구,,일신동,,경인로1118번길,3,109,2022-05-01 12:37:48,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
31364,31365,1854597,행복한안경원,,happy glasses,Shops and Service,Optical,126.72169546981893,37.4016499320939,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,논고개로123번길,35,632-1,2022-08-18 12:00:50,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
31467,31468,4323136,윤안경,,Yoon Ahn Kyung,Shops and Service,Optical,126.69567768864388,37.446006275679274,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,문화서로,8,1395-4,2022-05-01 12:37:48,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
32452,32453,2601171,이상수안경원,,Lee Sang-soo Ophthalmology Center,Shops and Service,Optical,126.7040665806859,37.51256935401271,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,마장로,388,190-1,2022-08-24 14:41:06,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
32570,32571,3447638,아이패밀리안경,아이패밀리연수점,eye family glasses,Shops and Service,Optical,126.67879342933888,37.41427278811855,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,용담로125번길,2,607-13,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
33577,33578,2601578,서독안경,,west german glasses,Shops and Service,Optical,126.62885599999952,37.472518999999885,대한민국,KOR,KOR,인천광역시,중구,,내동,,우현로,59,206-1,2022-05-01 12:37:48,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
34322,34323,1870716,이태리안경원경인교대점,,Italian optician's office Gyeongin kyodae branch,Shops and Service,Optical,126.72226266441092,37.5377522333128,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,계산로,89,969-20,2022-08-24 14:41:06,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
34418,34419,1871784,킵헬시아이안경콘택트,,keep healthy eye glasses contact,Shops and Service,Optical,126.68374824335916,37.56750545732872,대한민국,KOR,KOR,인천광역시,서구,,검암동,,승학로,582,513-3,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
34747,34748,1262510,서전안경,,Seojeon Glasses,Shops and Service,Optical,126.67595801865691,37.542003797502005,대한민국,KOR,KOR,인천광역시,서구,,심곡동,,심곡로56번길,1,255,2022-08-24 14:41:06,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
34870,34871,3106175,알프스안경원,,alps optician,Shops and Service,Optical,126.63466237419192,37.4756032476294,대한민국,KOR,KOR,인천광역시,동구,,송현동,,화도진로,30-2,87-112,2021-12-23 15:49:18,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
35209,35210,20015264,지니스안경 인천연수점,,Genie's Glasses Incheon Yeonsu Branch,Shops and Service,Optical,126.6759434944479,37.414509015465846,대한민국,KOR,KOR,인천광역시,연수구,,청학동,,먼우금로,189,503-3,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||지니스",False
35278,35279,1272773,한국안경백화점,안경백화점,Korea Glasses Department Store,Shops and Service,Optical,126.72286447298492,37.53293412638252,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,계양대로,102,854-14,2022-08-18 12:00:50,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
35410,35411,3261775,아이팝 안경,아이팝안경청라점,ipop glasses,Shops and Service,Optical,126.65273270047489,37.53408457537199,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라라임로,71,162-10,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
35700,35701,3131919,행복한안경원,,happy optician,Shops and Service,Optical,126.6723879994638,37.40687900120971,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,앵고개로,266,932,2022-05-01 12:37:48,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
36160,36161,691589,인하안경콘택트,인하콘택트,Inha Glasses Contact,Shops and Service,Optical,126.73074045500192,37.50437177970141,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,장제로,211,10-523,2022-08-24 14:41:06,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
36377,36378,3120555,글라스박스 렌즈미 작전점,글래스박스안경콘택트작전점,Glass Box Lens Me Jakjeon Store,Shops and Service,Optical,126.73415098577092,37.53094757750212,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,장제로,708,901-4,2022-08-18 12:00:50,"쇼핑,편의||패션잡화||안경,렌즈||안경원||글라스박스",False
36536,36537,2608328,조안경콘택트,,Jo Glasses Contact,Shops and Service,Optical,126.68000631382992,37.44901760360968,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,미추홀대로578번길,5,1465-4,2022-05-01 12:37:48,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
36542,36543,1871202,우리안경 병방점,,Woori Glasses Byeongbang Branch,Shops and Service,Optical,126.74112900751088,37.54781204109776,대한민국,KOR,KOR,인천광역시,계양구,,병방동,,장제로,912,132-1,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
36750,36751,1870729,행복한안경,,happy glasses,Shops and Service,Optical,126.73778771514193,37.51890449665121,대한민국,KOR,KOR,인천광역시,부평구,,삼산동,,후정동로,15,201-3,2022-08-12 13:15:03,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
36961,36962,3108867,인천안경,,Incheon Glasses,Shops and Service,Optical,126.64511742493184,37.476204239390896,대한민국,KOR,KOR,인천광역시,동구,,송림동,,송림로,93-1,50-26,2022-05-01 12:37:48,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
38536,38537,3132609,로얄안경원,,Royal Optician,Shops and Service,Optical,126.70835502773036,37.48715450754082,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,경원대로,1236,310-96,2022-08-18 12:00:50,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
38716,38717,3134729,착한안경 석남점,,Good Glasses Seoknam Branch,Shops and Service,Optical,126.6790579255469,37.51197974127448,대한민국,KOR,KOR,인천광역시,서구,,석남동,,서달로,150-3,111-97,2022-09-06 15:18:26,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
39888,39889,1870885,미추홀안경,,Michuhol Glasses,Shops and Service,Optical,126.73833335920096,37.445507141536964,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,장승로,49-1,1089-5,2022-08-24 14:41:06,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경박사",False
40407,40408,3127169,신세계안경콘택트,,Shinsegae Glasses Contact,Shops and Service,Optical,126.67475832982988,37.5495184634541,대한민국,KOR,KOR,인천광역시,서구,,연희동,,승학로,310,684-14,2022-08-24 14:41:06,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
41052,41053,3119865,크리스탈안경,,crystal glasses,Shops and Service,Optical,126.65171519981588,37.46831821944696,대한민국,KOR,KOR,인천광역시,미추홀구,,숭의동,,석정로,148,89-1,2019-11-14 23:05:38,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
41957,41958,2603294,라르고안경,,largo glasses,Shops and Service,Optical,126.6564279534429,37.46550985550536,대한민국,KOR,KOR,인천광역시,미추홀구,,숭의동,,수봉로,7,53-31,2022-08-18 12:00:50,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
42360,42361,3124295,밝은눈안경,,bright eye glasses,Shops and Service,Optical,126.75720989089353,37.559025432474165,대한민국,KOR,KOR,인천광역시,계양구,,동양동,,동양로,111,640,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
44452,44453,1871414,미래안경,,future glasses,Shops and Service,Optical,126.74271483319194,37.51976128450131,대한민국,KOR,KOR,인천광역시,부평구,,삼산동,,영성서로,15,86-12,2022-09-06 15:18:26,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
45014,45015,4347789,안경창고싸군,,Glasses warehouse,Shops and Service,Optical,126.67244944790752,37.50616902242498,대한민국,KOR,KOR,인천광역시,서구,,석남동,,가정로,240,539,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
45416,45417,5677680,안경백서 계산점,,eyeglasses white paper,Shops and Service,Optical,126.72606583497092,37.54315726070011,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,경명대로,1074,945-3,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
46401,46402,3118559,새길안경원,,Saegil Optics Center,Shops and Service,Optical,126.7083565980333,37.452829599049615,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,구월남로,172,1199,2022-08-12 13:15:03,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
46727,46728,1267331,스마일안경마트,,Smile Glasses Mart,Shops and Service,Optical,126.74210799999996,37.54095099999982,대한민국,KOR,KOR,인천광역시,계양구,,용종동,,용종로,78,228-1,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
47432,47433,6223575,스타파인더안경보청기,스타파인더보청기,starfinder glasses hearing aid,Shops and Service,Optical,126.66800952487992,37.51558769923231,대한민국,KOR,KOR,인천광역시,서구,,신현동,,염곡로,351,134-25,2021-12-23 15:49:18,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
48910,48911,27228268,스마트안경점,,smart glasses shop,Shops and Service,Optical,126.67872611243288,37.45881550960287,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,경인로,347,194-5,2022-05-01 12:37:48,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
49018,49019,27368253,아이패밀리안경,,eye family glasses,Shops and Service,Optical,126.66202949918568,37.47202004492222,대한민국,KOR,KOR,인천광역시,미추홀구,,도화동,,숙골로,114,1005-6,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
49344,49345,4344798,우리안경 간석점,,Woori Glasses Ganseok Store,Shops and Service,Optical,126.7085862122366,37.46159994101052,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,남동대로,886,206-2,2022-08-30 9:43:30,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
50123,50124,27194862,아이피아안경원,,ipia glasses,Shops and Service,Optical,126.66913850265888,37.42148586117997,대한민국,KOR,KOR,인천광역시,연수구,,청학동,,용담로,11,451,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
50330,50331,1262313,1001안경콘택트 구월 모래내점,일공공일안경콘택트구월모래내점,1001 Glasses Contact September Sand,Shops and Service,Optical,126.7194013304279,37.45364637564526,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,호구포로,798,1265,2022-08-18 12:00:50,"쇼핑,편의||패션잡화||안경,렌즈||안경원||1001안경콘택트",False
50381,50382,4340379,글라스캐슬 청라점,,Glass Castle Cheongna Branch,Shops and Service,Optical,126.64707657945986,37.5315862491304,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라커낼로,252,159-1,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
50576,50577,27185170,으뜸플러스안경 인천효성점,,Best Plus Glasses Incheon Hyosung,Shops and Service,Optical,126.71694733123088,37.52775047891419,대한민국,KOR,KOR,인천광역시,계양구,,효성동,,새벌로,120,196-6,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||으뜸플러스안경",False
50638,50639,1855557,우리들안경,,our glasses,Shops and Service,Optical,126.6548209527919,37.451864868039166,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,인하로,57,199-8,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
51941,51942,2602496,봄안경콘택트,봄안경,spring glasses contact,Shops and Service,Optical,126.73923932838416,37.50395828115794,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,길주남로,157,496-20,2022-08-16 16:52:33,"쇼핑,편의||패션잡화||안경,렌즈||안경원||안경원-일반",False
