ko,en
빈포,Vin Pho
로우머,Roamer
코지,Cozy
돈돈,DON DON
프롬더맘,from the mom
유,You
포가레이,Pho ga le
브라보,BRAVO
위라이크,WE LIKE
카페다온,CAFE DA:ON
세이버,Savour
커피앤스쿱,Coffee&Scoop
모스플레이스,MODSPLACE
파트원나이스,Part1Nice
카페 겟앤쇼,Cafe Get&Show
비샾,B#
빅슬로우,Big Slow
플러버,flubber
보이드,VOID
라움,RAUM
플루이드,FLUID
브라이트 사이즈,Bright Size
카페비온,CafeBeOn
에스티디오,stdo
오리,Ori
에프씨브이,FCV
모카런던,MOCA London
토리블루,Tori Blue
폴린,Pauline
카페@363,Cafe@363
온댓데이,on that day
씨엠기획,CM기획
비비큐,BBQ
"라티,시크릿 셰프","RATI,secret chef"
아토,ATO
스위스윗,swiisweet
차이,Chai
포고,phogo
스콘하우스,SconeHouse
쉐프의콜렉션,CHEF'S COLLECTION
더철판삼겹,the철판삼겹
조비스그릴,JOVY'S GRILL
프레임,FRAME
비,BE
발코니 가든,Balcony Garden
베이크럽,BAKLUB
더라운지,The Lounge
더라운지바,The Lounge Bar
카페돌체,Cafe Dolce
키즈카페아잉,Kids cafe AAing
코리엔더,CORIANDER
커피다 ,COFFEEDA
낫 컴플리트,not complete
플래시백,Flashback
프라하 펍,PRAHA PUB
히피히피,hippie hippy
머치커피,muchcoffee
벨꾸,Bellecour
씨스터,"sister,자매"
비바 서울,BIBA SEOUL
카페시바,Cafe' SIVA
루틴,ROUTINE
이그제큐티브 라운지,Executive Lounge
스아게,SUAGE
버티고,VVERTIGO
데일리 파티,Daily party
아하브,AHAB
피자이탈리,pizza italy
오하이,"OH,HI"
아이오쓰리,iooo
비타,VITA
제레미버거,"jeremy,s jr"
백스트리트50,Backstreet50
겐카츠,GEN KATSU
숲속아지랑이,Forest mirage
저스트단비,JUST DANBEE
레몬 바,Lemon Bar
에스포인카프,S.caf
플랫,FLAT
빔스다이너,VIMS DINER
피죤그램,pigeongram
트리운드,TRIUND
패딩턴,PADDINGTON
강이의 키친,Kangs Kitchen
안웅,An Uong
뽀뽀,II
더맥주 ,THE 맥주
바플라이,Barfly:별밤
두바이,DUBAI
비비큐,BBQ
꾸 ,COUP
무자비,mujabee
엘타워4,ELTOWER 4
엘타워5,ELTOWER5
카스트로 폴로스,castorPollux
흐엉관,HUONGQUAN
요요스플레이트,YOYO'S PLATE
줄라이,July
방콕익스프레스,BANGKOK EXPRESS
비에이치씨,BHC
하찌,HACHI
재즈 잇 업,Jazz it up
카페 피어,CAFE PEER
원더월드,WONDER WORLD
엔티,NT
올로,ollo
셰이디드,Shaded
따봉브라질,TABOMBRAZIL
쥬네스,JEUNESSE
엘타워1,ELTOWER 1
르스테이크,le STEAK
잇츠 라이프,It's Life
더템퍼러리키친,The Temporary Kitchen
와이,Y
헤븐온탑,heaven on top
피자팬팬,Pizza panpan
에이치,h
그린 래빗,Green Rabbit
쿤캣가든×그레이트캠프,Kuncat Garden by GreatCamp
브로밀,Bro mill
더 베란다,The Verandah
카스광장,Cass 광장
홍,H5NG
비어링,Beer ing
단,DAN
네이버후드,Neighborhood
방,PC방
줄라이카레,July curry
디비스넥,DB
언오피셜 프리뷰,UNOFFICIAL PREVIEW
롯데컬처웍스(주)롯데시네마 은평 스위트샵,5층
디오디아,DIODIA
엘타워2,ELTOWER 2
엘타워3,ELTOWER3
모다함,MODAHAM
커피 공원,Coffee Gongwon
롯데컬처웍스(주)롯데시네마 월드타워 클라우드 라운지,5층
이스트우드,eastwood.
카페(cafe)프린세스 스토리,story
잇키,IKKI
온파스타,on Pasta
라풀,LAFULL
문카페,Moon cafe
바-프로,Bar-Pro
삼삼테이블,33 table
더헙,The Hub
오븐앤바인,oven and vine
오,O
커피메이플,Coffee maple
비바,VIVA
더풀,thepool
그래비티,Gravity
디케이치킨,DK CHICKEN
키친에이프릴,KitchenApril
제이에스,JS
컬쳐커피,CULTURE COFFEE
메시,MESI
아맘,amamm
플랫폼 1968,PLATFORM 1968
샌드빈,SAND BEAN
쉐프스그릴,chef's grill
메핏,Mefit
가모스,GAMOS 1
쿨팝스프라자,Cool Pops Plaza
더보,THE BO
시미베,SIMIBE
이안,iaan
저스트 블랙,Just Black
와이낫,Why not
아(A)만두여기요,2호
소가미가,SOGAMIGA
소가미가,SOGAMIGA
루티드,Rooted
레이,Ray
메르시,Merci
컴파스라운지,compass lounge
카페메이,May
비비큐,BBQ
구스타파스,GusTapas
스멜팅커피,smelting coffee
포터블 로프트,PORTABLE LOFT
지노스 피자,Gino's Pizza
붱이,Bwong.E
빈버드,Been Brid
사부아르,Savoir
리틀베트남퍼,Little Vietnam Pho
파라다이스,PARADISE
스파인가든5,The spain garden5
카페 두 센트레,cafe du centre
아무,Amu
아리랑,ARIRANG
신사,SINSA
아이오유,I.O.U
코코스,"coco,s"
덴,Den
오름,ORUM
1982 컵밥,1982CUPBAB
아우프글렛,AUFGLET
투플로어,2FLOOR
한우생고기전문점 잭,JACK
에스,S
공차,GONG CHA
프로젝·디,PROJEC·D
올슉업,All Shook Up
베이비기네스,Baby Guinnes
더 테이블,THE TABLE
바코,BACO
풀셋,Full Set
어반스푼,Urban spoon
까를로스,Carlos
파르투내,FARTUNE
칼로앤디에고,Kahlo&Diego
더코지코너,TheCozyCorner
더퀸,The Queen
메이드,MADE
슬래시위드,slashwith
제이제이,J.J
시칠리,sicili
포원,PHO ONE
라구,Ragu
더로지,The Lodge
쎄이썸띵,Say Something
녹스,NOX
살로스,ZALUUS
미스터브리즈,Mr.Breeze
윰,Yum
세컨드플로어델리,Second Floor Deli
모델로,Modelo
더 가든,The Garden
도스타코스,DOSTACOS
포앤팬,pho&pan
맥파이 브루잉 컴퍼니,Magpie Brewing Company
단코,danco
제이,J
오우버,OUVER
베가,Vega
게이트커피,gate coffee
핌피,Pimfy
플레이그라운드,PlayGround
비-몬스터커피,B-Monster  Coffee
케이제이푸드,KJ FOOD
카페그린,CAFE GREEN
커피락펍,coffee Rock Pub
짙은,zitten
포 하우스 ,PHO HOUSE
티퍼런스,Teafference
까페 팩토리얼,factoreal
목로,MOKROE
제이,J
새턴호텔,SATURN HOTEL
스토구,STO9
카페쉐어링,CAFE SHARING
하이스틱,HISTICK
론드리프로젝트,LAUNDRY PROJECT
올디스,OLDIES
카페케이,CafeK.
투,TWO
비비큐,B.B.Q
카페 마지오,cafe maggio
아마또,amato
레이,Lei
더 젤,The Jell
캐빈,CABIN
마카멜롱,Macameron
미소,MISO
다바,daba
파파,PaPa
티문,Tmoon
키친아이,kichen-i
푸드스토리705,Food Story 705
카르페디엠,CarPe Diem
랄랄라,Ralala
곰식's 카페,by 커피나무
풀 하우스 테라스,Pool House Terrace
카페미도,CAFE MIDO
몬스터컵케익,monster cup cake
트윈스 루케테,Twins Lucete
바오밥 커피 로스터스,BAOBAB COFFEE ROASTERS
비비큐,BBQ
노브.13,Nov.13
와이팟커피,Y.Pot Coffee
1955 그로서리아,1955 Groceria
비비큐,BBQ
소나로사,ZONAROSA
가모스,GAMOS 2
마라탕,365MLT
루나,Luna
써미트호텔,PINE TREE
아이비,I V Y
아지오,AGIO
조지스 버거,George's burger
슬로스텝,SIow SteP
라자트,LAZZAT
어게인,Again
브랫 서울,Brats Seoul
제이제이,JJ
노블따블,noble table
소브스위드살몬,SOVS
밍,Ming
제이엔진,JN Jin
내자동커피,GLAD COFFEE ROASTERS
다야르몽골,DAYAR MONGOL
오스테리아 쟌니,Osteria Gianni
초코블로썸,choco Blossom
엠케이,M.K
구,Goo
레더라 에쓰에프씨점,LADERACH SFC점
버클리커피소셜,Berkeley Coffee Social
더뷰,THE VIEW
시베리아 카페,Siberia Cafe
더-큐 ,The-Q
터치더스카이,TOUCHTHESKY
미 커피 ,me coffee
카페,cafe
파이브 셉템버,5 September
라밥,LABAB
파르투내,FARTUNE
원썸버거,Wantsome Burger
솔리드에이스,Solid Ace
라우드 플레이 리스트,LOUD Play list
띵스체인지,Things Change
살라아띠,salaatti
크래프트맥,CRAFT MAC
아뜰리에,atelier
메종 조,Maison Jo
포마토,pomato
티파이,TIFY
와이수산,Y수산
매머드커피목동점,66호점
씨리어스델리,seriousDeli
카페 죠 샌드위치,Cafe Joe's Sandwich
메이크센스,Make Sense
쌍띠에,sen-tier
솔트24,Salt24
코믹킹,comicking
중식당 케이웍,K-WOK
코피티암,KOPITIAM)
연회장,Banquet
37그릴&바,37GRILL&BAR
맨디,MANDY
보까,Bocca
플레인하우스,Plain HAUS
디저트카페솔,SOL
집투,JIB-Ⅱ
모모레,momore
허니크림,HONEY CREAM CAFE
누에,neue
다우 ,Dawoo
레이,Lei
63컨벤션센타,63CONVENTIONCENTER
예나,YENA
코지필,cozy feel
헤런,Heron
일미식당,2호점
아이비테라스 ,IB TERRACE
관훈갤러리 카페,Gallery Cafe
이구펍 3호점,29PUB
돔카페,Dome Cafe
카페리비,Cafe Livi
바21,BAR21
블랙미엘,Black miel
이어걸,eargirl
좁골떡볶이,ZOPGOL
엘리스시,Ellys Sushi
숯불구이산더미&메머드,MMTH
스프라우트,sprout
빈스쿡,Beans Cook
오슈,osiu
쿠퍼,CUPPER
스픽이지,Speak Easy
시로,Shiro
그린 앤 그레인,Greens & Grains
빅블루,Big Blue
카페테인,Caffe TAIN
모짜,MOZZA
블랙리스트,Blacklist
트리부,TRIBU
이글서울,eagle seoul
마니,Mani
에이치801,H801
똑,DDOCK
알로,ALLO
스카이티,sky T
린,Lynn
리모니에,Limonier
카페레알빈,Cafe Real Bean
비에이치씨,BHC
소하,SOHA
플레이그라운드,PLAY GROUND
카페필로스,CAFE PHILOS
윤스바,YOON'S BAR
카페3,CAFE3
카르페디엠,CARPE DM
비에이치씨,BHC
어텀,autumn
카페,cafe
어썸,awesome
에릭클랩튼,Eric Clapton
시크릿,Secret
백스트로크,Back Stroke
엠에이치,MH
비어바,Beer bar
드림라이크 커피,Dreamlike coffee
토키바야마,TOKIBAYAMA
하이드아웃,HideOut
슈밀리,SHMILY
홀맥,HOLMAC
릴랙스 인 다운타운,RELAX IN DOWNTOWN
쿠쥬,Could U
사유,SAYOO
퀸,QUEEN
와이에스엘,YSL
어워크인더스핀들,A walk in the spindle
꼬꼬닭컴,com
더클럽,The club
메르시,Merci
알키미아,Alkimia
아띠 라이더스 클럽,ARTEE RIDERS CLUB
곤드레밥,bob-gondre
와프트 커피,waft coffee
루나,LUNA
잇미,EAT ME
엘부조,elbuso
매드커피,MAD COFFEE
비움,B:OOM
코로돈,Korodon
알키미스타,Alquimistar
카페나리,cafe nali
테누토,Tenuto
티그레블랑코,Tigre Blanco
원바,one
병과점 임오반,Yim oh Van
스톤,STONE
오공일,501
춘리,CHUN-LI
비보,vivo
이안,EAN
소울&그루브,Soul & Groove
지미버거,Jimmy Burger
무사,mousa
더,THE
이자카야,IZAKAYA
뽀소,posso
노우웨이브,know-wave
비스트바,bar
1퍼센트,1Percent
타이거슈가,TIGER SUGAR
카페하이,HYE
고기,KOGI
톤앤토리,Ton&Tori
바밤바,Bar Bam Bar
솔로스,solos
스크웨어,skwer
제스트&아트리오&티엔비,ZEST&ATRIO&TNB
샐몬무쌉,Salmon moosab
밀땅,MEAL DDANG
프리시즌,preseason
엘린,ELIN
실리그린,Silly Green
팔칠팔커피,878coffee
마쵸스헡,Macho's Hut
마이 페이버리츠 띵,my favorite things
리마인드커피,Remind coffee
비스트로모브,Bistro Mov
비니빈,BINIBEAN
쌉,SAAP
록시,Roxy
퍼니주,funnyzoo
카인드 플레이트,Kind Plate
사이공마켓,Saigon Market
새,SE
하우스브란트,Haus brandt
커피 원,Coffee one
야야,YAYA
이글스,EAGLES
드래곤마운틴,Dragon mountain
핀 스카이,FIN SKY
애브리씽 벗 더 히어로 카페,Everything but the hero cafe
수릿,soolit
호프,HOF
"하이드 미, 플리즈","Hide me, Please"
쏘러스,Saurros
모어,more
피자버거플러스,PB+
르지우,LeJIU
카페데이,CAFE DAY
싸이드,SIDE
쓰리오브어스,3 ofus
헤븐,HEAVEN
비에치씨,BHC
후럼브르클린,FROM BROOKLYN
컨템포카페,Contempo- Cafe
모나리자,MONA LISA
드블루,DEBLAUX
어겐스트 더 머쉰,Against the Machine
식스먼스오픈,SIX MONTHS OPEN
마리또에몰리에,MaritoeMoglie
더 오픈,THE OPEN
레이디보스,LadyBoss
더블유,W
피카,FIKA
타이반쩜,ThaiBan·
어반게이트,URBAN GATE
엘피,LP
붐박스,BoomBox
더쿠도스,The Kudos
꾸잉,QUYNH
럼푸스룸,RUMPUS ROOM
275 펍 ,275 PUB
카오스,chaos
르피에로,LE PIERROT
팀트,TIMT
헤븐,Heaven
비어팜,Beer Farm
피셔맨스 키친,Fishermans kitchen
케이준 서울,cajun seoul
커피 집,coffee zip
벱,BEP
빅커피,BIG COFFEE
파노라마 라운지,Panorama Lounge
366일 사이타마세이카츠,366日
더치터치,dutch touch
카페 드 알티움,Caffe' de Artium
알키미스타,Alquimistar
더홈서울,the home seoul
브루삼점일사투,Brew 3.14 Ⅱ
틴패낼리,Tin Pan Alley
르물랑,LE MOULIN
제이제이바,J.J bar
더부즈,The Booze
넘버팔오,NO.85
더,the
라온,RAON
브롱스,Bronx
버거스낵,BURGER SHACK
위즐,WeZll
엘피,LP
포에버,Forever
테이크어웨이커피,Take away coffee
머스트 ,MUST
쉘,SHELL
호텔707,HOTEL707
프린지,FRINGE
애비뉴,Restaurant
킨포크 키친,KINFOLK KITCHEN
벨리븐,Beleben
비비큐,B.B.Q
로코스,LOCOS
로칼,Lokal
에슬로우,ESLOW
조이,Joy
커피타임,COFFEE TIME
푸시풋살룬,Pussyfoot Saloon
아띠,ARTI
이드,EID
테라스 222,terrace 222
릴리,Lily
비지문,BG Muhn
헤이커피,"hey, coffee"
비비큐,BBQ
비엣콴,VIET QUAN
뚜주르,tou jours
포인유,PHO in U
제이와이펍,JY.pub
문릿,MOONLIT
카페묵149,MUK149
앨리스,ALICE
본투비블루,Born to be Blue
바라,BARA
삼청동 우피,WOOFY
뉴,NEW
사케쇼프,Sake Shop
밀롱가,Milonga
카르페가든,Carpe Garden
카페 올웨이즈,Cafe Always
이자카야,IZAKAYA
제이앤코티에,J&COTTIE
프리즘,PRISM
순,Soon
써브웨이,SUBWAY
알루메,AL Lume
팝퍼블,POPABLE
아이매뉴얼,i-manual
휴앤안,HUE&AN
소네츠,SONNETS
네로썸,Nerosome
폭스,FOX
일공일 커피,101 coffee
카키바움,kakibaum
앱쌥,ABB ZAAP
쥬스토,Giusto
한우다이닝울릉,HANWOODINING ULLEUNG
아크펍,ARK
미마미,mimami
티엘씨,TLC
모아,more
투비,To Be
코코,CoCo
미루카페,miroo cafe
마루,MARU
버닝팟,Burning Pot
시즌스,seasons
카페키플링,CAFE KIPLING
티피비,T.P.B
브롱스 문정점,Bronx
데코 보코,DEKO BOKO
파틱,PATIC
어거스트 치킨,August Chicken
데스페라도,des-perado
무르무르 드 구스토,mur mur de gusto
카페 유,cafe U
라이브 위,Live We
스시집,ZIP
카페수,cafe:秀(수)
블리스,BLISS
로프트가든344,LOFTGARDEN344
요비,YOBI
해마,HEMA
엘빈,L.BEAN
미니말레 커피,minimale kaffee
플레이볼,Play Ball
커피,107
엘카페,EL cafe
파이브 포인트 파이브 언더,5.5
비에이치씨,BHC
잠실파크리오점,B.B.Q
오투,O2
델리셔스,Delicious
비에이치씨,BHC
채완,ChaeWan
피노,Pinot
치킨 뽈로,chicken pollo
어라이브,ALIVE
차이,Chai
비나미코,Vinamico
주빌리,Jubilee
슬로우먼데이,SLOW MONDAY
케이,K
오우아,OH WOAH
제이에스,JS
워터프론트,Water Front
스토리,story
프로젝트 베이스,PROJECT BASE
비에이치씨,bhc
포-비엣,Pho-Viet
온더그라운드,ONTHEGROUND
짱,zzang
웨스턴차이나,Western China
바스타,Basta
아건,AANGAN
오리올케이크,oriole cake
오리올그린,oriole green
어니스트 인 서래,Honest in Seorae
카페 브릭나인,Cafe Bricknine
루이비스 타임,Louisvis Time
끼니상자,kkinibox
아스테르,ASTER
비에이치씨,bhc
코지8,COZY8
부,BOO
오오티,oot
키투오커피,KITUO COFFEE
베누스타76,venusta76
비에이치씨,BHC
메머드,MMth
카페씨드,CAFE SEED
지비에프120,GBF120
레드리프커피팩토리,RED LEAF coffee factory
쏘핫,SOHOT
앤디컵,Andy cup
더마레,the mare
코블러,cobbler
산토스커피,SANTOS COFFEE
하노,HANO
소아베,Soave
비비큐,BBQ
텐,TEN
진크,zinc
아로포,ALOPHO
피자 유니온,union
문,mu:n
루이비스 봄봄,Louisvis Bombom
브리즈 베스트 버거 플리즈,BREEZE Best burger Please
이화 오하나,Ohana
더 마켓 키친 앤드 라더,The Market Kichen&Larder
사노,Sano
램퀸,Lamb Queen
비에이치씨,BHC
샷,SHOT
오쏘파스타,OSSOPASTA
누보5,Nouveau5
로찌커피,lodge coffee
커피렉,COFFEE LEC
핸드드립커피,Hand Drip Coffee
테이블하나 ,TABLE HANA
썰스티썰스데이,Thirsty Thursday
카페보우,Cafe Bow
지로스팅랩,G ROASTING LAB
비어,beer
어니언스,onions
아바,ABBA
아뜨리에 파젠다,Atelier FAZENDA
더 에스프레소 룸,The Esprosso Room
집,zip
다피타,da pitta
엠엠티에이치 013,MMTH 013
하루,Haru
벙커푸드,bunker food
카페지오,CAFE GIO
엠투커피,M2 coffee
스시엠,M
재즈,JAZZ
리플렉트,Reflect Coffee Roasters
고고스,GOGOS
애스크,ask
큐,Q
시그니처알,R
카페엘리,Cafe Alley
에스프레소랩,Espresso Lab
카페 인디고,cafe indigo
그레피스,GraPeace
,
착형,Good Brothers
베테카텐,VETE CATTEN
블루밍테이블,Blooming Table
까페와나카,CAFE nz WANAKA
콘띠오,ConTio
유유안,Yuyuan
"아키라 백, 서울","Akira Back, Seoul"
보칼리노&오울,Boccalino&OUL
마루,Maru
찰스 에이치,Charles H
쥬스바,Juice Bar
칸지고고,congee gogo
순,SOON
음음커피,umum coffee
엘리스 리틀 이태리,ELLIE'S LITTLE ITALY
윅앤드위켄드,week and weekend
오드스테어,O'DE STAIR
스몰미디움라지,"S,M,L"
스매쉬보이,smashboy
프로그,FROG
테그42용산역점,TEgg.42
비에이치씨,BHC
크롬,Chrom
어나더룸,Another Room
럭키나인,LUCKY NINE
파로,FARRO
페잇퍼,paperr
스케브루,skebrew
런,RUN
소니도,SONYDO
미트로칼,MEAT LOKAAL
브릭스5221맥주,BRIX5221맥주
428 루프탑바,428 Rooftop Bar
티십이커피,T12COFFEE
와이엠 커피 프로젝트,YM COFFEE PROJECT
엘에이갈비찜닭,LA갈비찜닭
쉐궈라오,MIXFRUITY
오토,OTTO
샌드위치 에이피티,SANDWICH apt
비에이치씨,BHC
메리트리,meritree
바엔틀러,Bar Antler
커피 로스팅 팩토리 플러스,coffee roasting factory+
칠삼,73
제이제이,JJ
메르시,merci
브라운필원,Brownpill One
브라운필투,Brownpill Two
비에이치씨,bhc
퓨엔테,Fuente
도모,DOMO
드렁큰 플로리스트,drunken florist
씨 씨에스,C CS
카페 애드,cafe add
타이웨이,Taiway(台味)
넘,NUMB
만나,MANNA
비전스트롤,VISION STROLL
카페린91,cafeRin91
타임,Time
보르고한남,BORGO
스틸커피,STEEL COFFEE
버터힐,Butterhill
제이유에이에이치,JUAH
오쥐,Oggi
코끼리,KOKIRI
리아라운지,LIA Lounge
탭스터,TAPSTER
에스씨피스쿱,SCP.Scoop
