"행정구역","2021년_거주자 인구수","2021년_세대수","2021년_남자 인구수","2021년_여자 인구수"
"서울특별시 중구 신당동(1114061500)","7,524","4,602","3,704","3,820"
"서울특별시 중구 다산동(1114062500)","13,538","6,692","6,591","6,947"
"서울특별시 중구 약수동(1114063500)","16,403","7,642","7,637","8,766"
"서울특별시 중구 청구동(1114064500)","13,398","6,158","6,343","7,055"
"서울특별시 중구 신당제5동(1114065000)","10,208","5,257","4,968","5,240"
"서울특별시 중구 동화동(1114066500)","10,120","3,983","4,894","5,226"
"서울특별시 중구 황학동(1114067000)","12,390","6,939","5,897","6,493"
"서울특별시 중구 중림동(1114068000)","11,835","5,508","5,872","5,963"
"서울특별시 용산구 (1117000000)","216,655","106,453","104,412","112,243"
"서울특별시 용산구 후암동(1117051000)","16,462","8,177","8,047","8,415"
"서울특별시 용산구 용산2가동(1117052000)","9,196","5,028","4,458","4,738"
"서울특별시 용산구 남영동(1117053000)","7,006","4,888","4,258","2,748"
"서울특별시 용산구 청파동(1117055500)","19,101","10,794","8,930","10,171"
"서울특별시 용산구 원효로제1동(1117056000)","15,661","7,914","7,425","8,236"
"서울특별시 용산구 원효로제2동(1117057000)","13,553","5,856","6,381","7,172"
"서울특별시 용산구 효창동(1117058000)","9,906","4,280","4,690","5,216"
"서울특별시 용산구 용문동(1117059000)","11,677","5,253","5,596","6,081"
"서울특별시 용산구 한강로동(1117062500)","21,187","11,272","10,067","11,120"
"서울특별시 용산구 이촌제1동(1117063000)","24,931","8,954","11,730","13,201"
"서울특별시 용산구 이촌제2동(1117064000)","8,146","3,597","3,827","4,319"
"서울특별시 용산구 이태원제1동(1117065000)","6,117","3,401","3,000","3,117"
"서울특별시 용산구 이태원제2동(1117066000)","8,520","4,566","3,956","4,564"
"서울특별시 용산구 한남동(1117068500)","19,393","10,240","9,412","9,981"
"서울특별시 용산구 서빙고동(1117069000)","12,728","5,116","6,108","6,620"
"서울특별시 용산구 보광동(1117070000)","13,071","7,117","6,527","6,544"
"서울특별시 성동구 (1120000000)","282,612","131,707","137,628","144,984"
"서울특별시 성동구 왕십리제2동(1120052000)","16,346","7,318","7,886","8,460"
"서울특별시 성동구 왕십리도선동(1120053500)","26,217","11,722","12,439","13,778"
"서울특별시 성동구 마장동(1120054000)","22,081","10,727","10,896","11,185"
"서울특별시 성동구 사근동(1120055000)","11,728","7,794","6,070","5,658"
"서울특별시 성동구 행당제1동(1120056000)","13,747","6,350","6,615","7,132"
"서울특별시 성동구 행당제2동(1120057000)","23,109","9,116","10,830","12,279"
"서울특별시 성동구 응봉동(1120058000)","15,211","5,902","7,266","7,945"
"서울특별시 성동구 금호1가동(1120059000)","15,113","6,466","7,200","7,913"
"서울특별시 성동구 금호2.3가동(1120061500)","22,466","9,921","10,698","11,768"
"서울특별시 성동구 금호4가동(1120062000)","14,179","6,262","6,740","7,439"
"서울특별시 성동구 옥수동(1120064500)","25,631","10,646","11,928","13,703"
"서울특별시 성동구 성수1가제1동(1120065000)","16,310","7,643","8,139","8,171"
"서울특별시 성동구 성수1가제2동(1120066000)","12,486","6,052","6,108","6,378"
"서울특별시 성동구 성수2가제1동(1120067000)","15,645","8,035","8,168","7,477"
"서울특별시 성동구 성수2가제3동(1120069000)","10,503","5,354","5,264","5,239"
"서울특별시 성동구 송정동(1120072000)","10,354","5,470","5,446","4,908"
"서울특별시 성동구 용답동(1120079000)","11,486","6,929","5,935","5,551"
"서울특별시 광진구 (1121500000)","336,447","165,305","162,207","174,240"
"서울특별시 광진구 화양동(1121571000)","22,828","17,506","10,862","11,966"
"서울특별시 광진구 군자동(1121573000)","19,373","11,142","9,559","9,814"
"서울특별시 광진구 중곡제1동(1121574000)","15,335","8,252","7,422","7,913"
"서울특별시 광진구 중곡제2동(1121575000)","21,222","10,496","9,996","11,226"
"서울특별시 광진구 중곡제3동(1121576000)","15,931","8,304","7,899","8,032"
"서울특별시 광진구 중곡제4동(1121577000)","28,265","12,946","13,844","14,421"
"서울특별시 광진구 능동(1121578000)","11,165","6,299","5,144","6,021"
"서울특별시 광진구 광장동(1121581000)","34,365","11,733","16,640","17,725"
"서울특별시 광진구 자양제1동(1121582000)","22,056","11,738","10,698","11,358"
"서울특별시 광진구 자양제2동(1121583000)","24,355","10,799","11,806","12,549"
"서울특별시 광진구 자양제3동(1121584000)","27,819","10,941","13,284","14,535"
"서울특별시 광진구 자양제4동(1121584700)","17,712","9,750","8,803","8,909"
"서울특별시 광진구 구의제1동(1121585000)","21,359","12,007","10,142","11,217"
"서울특별시 광진구 구의제2동(1121586000)","26,269","11,401","12,677","13,592"
"서울특별시 광진구 구의제3동(1121587000)","28,393","11,991","13,431","14,962"
"서울특별시 동대문구 (1123000000)","333,894","165,502","164,740","169,154"
"서울특별시 동대문구 용신동(1123053600)","31,255","18,643","15,684","15,571"
"서울특별시 동대문구 제기동(1123054500)","24,269","13,166","12,423","11,846"
"서울특별시 동대문구 전농제1동(1123056000)","28,863","14,590","14,423","14,440"
"서울특별시 동대문구 전농제2동(1123057000)","18,381","7,534","8,850","9,531"
"서울특별시 동대문구 답십리제1동(1123060000)","28,735","12,880","13,851","14,884"
"서울특별시 동대문구 답십리제2동(1123061000)","28,103","12,492","13,648","14,455"
"서울특별시 동대문구 장안제1동(1123065000)","37,902","18,148","18,732","19,170"
"서울특별시 동대문구 장안제2동(1123066000)","32,163","13,822","16,043","16,120"
"서울특별시 동대문구 청량리동(1123070500)","18,551","9,467","9,201","9,350"
"서울특별시 동대문구 회기동(1123071000)","10,356","6,440","4,938","5,418"
"서울특별시 동대문구 휘경제1동(1123072000)","13,794","7,516","6,565","7,229"
"서울특별시 동대문구 휘경제2동(1123073000)","23,951","11,996","11,948","12,003"
"서울특별시 동대문구 이문제1동(1123074000)","17,762","10,198","8,862","8,900"
"서울특별시 동대문구 이문제2동(1123075000)","19,809","8,610","9,572","10,237"
"서울특별시 중랑구 (1126000000)","383,963","183,025","189,218","194,745"
"서울특별시 중랑구 면목제2동(1126052000)","23,845","12,009","11,884","11,961"
"서울특별시 중랑구 면목제4동(1126054000)","18,796","8,945","9,324","9,472"
"서울특별시 중랑구 면목제5동(1126055000)","14,677","6,351","7,352","7,325"
"서울특별시 중랑구 면목본동(1126056500)","33,204","17,423","16,411","16,793"
"서울특별시 중랑구 면목제7동(1126057000)","21,553","10,438","10,824","10,729"
"서울특별시 중랑구 면목제3.8동(1126057500)","24,540","12,495","12,147","12,393"
"서울특별시 중랑구 상봉제1동(1126058000)","23,858","10,122","11,608","12,250"
"서울특별시 중랑구 상봉제2동(1126059000)","20,022","12,004","9,633","10,389"
"서울특별시 중랑구 중화제1동(1126060000)","19,460","8,971","9,553","9,907"
"서울특별시 중랑구 중화제2동(1126061000)","24,575","13,383","12,609","11,966"
"서울특별시 중랑구 묵제1동(1126062000)","34,193","14,675","16,500","17,693"
"서울특별시 중랑구 묵제2동(1126063000)","18,562","9,136","9,081","9,481"
"서울특별시 중랑구 망우본동(1126065500)","31,824","15,415","15,932","15,892"
"서울특별시 중랑구 망우제3동(1126066000)","16,197","8,120","8,116","8,081"
"서울특별시 중랑구 신내1동(1126068000)","38,362","14,591","18,576","19,786"
"서울특별시 중랑구 신내2동(1126069000)","20,295","8,947","9,668","10,627"
"서울특별시 성북구 (1129000000)","426,054","191,765","205,324","220,730"
"서울특별시 성북구 성북동(1129052500)","16,192","7,999","7,566","8,626"
"서울특별시 성북구 삼선동(1129055500)","22,603","11,331","10,784","11,819"
"서울특별시 성북구 동선동(1129057500)","15,214","9,321","6,402","8,812"
"서울특별시 성북구 돈암제1동(1129058000)","14,585","6,039","6,827","7,758"
"서울특별시 성북구 돈암제2동(1129059000)","23,625","8,470","11,195","12,430"
"서울특별시 성북구 안암동(1129060000)","14,774","9,265","7,416","7,358"
"서울특별시 성북구 보문동(1129061000)","15,220","7,583","7,341","7,879"
"서울특별시 성북구 정릉제1동(1129062000)","18,017","7,263","8,645","9,372"
"서울특별시 성북구 정릉제2동(1129063000)","22,844","9,746","11,017","11,827"
"서울특별시 성북구 정릉제3동(1129064000)","14,850","7,741","7,387","7,463"
"서울특별시 성북구 정릉제4동(1129065000)","24,584","10,656","11,854","12,730"
"서울특별시 성북구 길음제1동(1129066000)","35,238","12,379","16,736","18,502"
"서울특별시 성북구 길음제2동(1129068500)","16,457","6,760","7,871","8,586"
"서울특별시 성북구 종암동(1129070500)","38,487","16,921","19,089","19,398"
"서울특별시 성북구 월곡제1동(1129071500)","26,168","10,730","12,630","13,538"
"서울특별시 성북구 월곡제2동(1129072500)","19,243","9,466","9,251","9,992"
"서울특별시 성북구 장위제1동(1129076000)","24,104","10,620","11,805","12,299"
"서울특별시 성북구 장위제2동(1129077000)","13,516","6,545","6,655","6,861"
"서울특별시 성북구 장위제3동(1129078000)","15,655","6,348","7,696","7,959"
"서울특별시 성북구 석관동(1129081000)","34,678","16,582","17,157","17,521"
"서울특별시 강북구 (1130500000)","295,859","141,911","143,952","151,907"
"서울특별시 강북구 삼양동(1130553400)","23,260","10,825","11,592","11,668"
"서울특별시 강북구 미아동(1130553500)","21,288","11,500","10,221","11,067"
"서울특별시 강북구 송중동(1130554500)","29,093","13,664","13,968","15,125"
"서울특별시 강북구 송천동(1130555500)","26,028","13,269","12,910","13,118"
"서울특별시 강북구 삼각산동(1130557500)","31,198","11,456","14,970","16,228"
"서울특별시 강북구 번1동(1130559500)","18,139","10,110","9,149","8,990"
"서울특별시 강북구 번2동(1130560300)","15,714","7,502","7,598","8,116"
"서울특별시 강북구 번3동(1130560800)","16,717","7,378","7,838","8,879"
"서울특별시 강북구 수유1동(1130561500)","20,394","10,213","10,070","10,324"
"서울특별시 강북구 수유2동(1130562500)","21,068","9,718","10,070","10,998"
"서울특별시 강북구 수유3동(1130563500)","22,655","12,651","11,265","11,390"
"서울특별시 강북구 우이동(1130564500)","20,305","9,430","9,810","10,495"
"서울특별시 강북구 인수동(1130566000)","30,000","14,195","14,491","15,509"
"서울특별시 도봉구 (1132000000)","314,528","136,614","152,997","161,531"
"서울특별시 도봉구 창제1동(1132051100)","24,417","10,740","11,601","12,816"
"서울특별시 도봉구 창제2동(1132051200)","28,913","12,475","14,069","14,844"
"서울특별시 도봉구 창제3동(1132051300)","13,729","6,461","6,866","6,863"
"서울특별시 도봉구 창제4동(1132051400)","26,255","10,525","12,642","13,613"
"서울특별시 도봉구 창제5동(1132051500)","24,393","10,111","11,632","12,761"
"서울특별시 도봉구 도봉제1동(1132052100)","20,828","10,221","10,506","10,322"
"서울특별시 도봉구 도봉제2동(1132052200)","26,618","11,709","12,989","13,629"
"서울특별시 도봉구 쌍문제1동(1132066000)","21,113","9,227","10,168","10,945"
"서울특별시 도봉구 쌍문제2동(1132067000)","18,548","8,452","8,851","9,697"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,469","7,765","7,968","8,501"
"서울특별시 도봉구 쌍문제4동(1132068100)","18,511","7,026","8,750","9,761"
"서울특별시 도봉구 방학제1동(1132069000)","28,450","12,776","14,105","14,345"
"서울특별시 도봉구 방학제2동(1132070000)","19,445","9,257","9,804","9,641"
"서울특별시 도봉구 방학제3동(1132071000)","26,839","9,869","13,046","13,793"
"서울특별시 노원구 (1135000000)","507,124","214,647","244,164","262,960"
"서울특별시 노원구 월계1동(1135056000)","21,359","10,041","11,014","10,345"
"서울특별시 노원구 월계2동(1135057000)","26,390","11,803","12,710","13,680"
"서울특별시 노원구 월계3동(1135058000)","29,669","12,842","14,164","15,505"
"서울특별시 노원구 공릉1동(1135059500)","36,297","17,942","17,698","18,599"
"서울특별시 노원구 공릉2동(1135060000)","40,124","16,864","19,557","20,567"
"서울특별시 노원구 하계1동(1135061100)","26,373","11,360","12,650","13,723"
"서울특별시 노원구 하계2동(1135061200)","21,851","8,129","10,418","11,433"
"서울특별시 노원구 중계본동(1135061900)","23,806","8,275","11,574","12,232"
"서울특별시 노원구 중계1동(1135062100)","26,652","8,870","12,940","13,712"
"서울특별시 노원구 중계4동(1135062400)","19,810","8,262","9,517","10,293"
"서울특별시 노원구 중계2.3동(1135062500)","33,926","15,088","15,560","18,366"
"서울특별시 노원구 상계1동(1135063000)","37,836","15,405","18,310","19,526"
"서울특별시 노원구 상계2동(1135064000)","19,820","8,531","9,814","10,006"
"서울특별시 노원구 상계3.4동(1135066500)","25,848","11,754","12,850","12,998"
"서울특별시 노원구 상계5동(1135067000)","23,724","10,774","11,504","12,220"
"서울특별시 노원구 상계6.7동(1135069500)","32,337","13,691","14,923","17,414"
"서울특별시 노원구 상계8동(1135070000)","22,417","9,136","10,758","11,659"
"서울특별시 노원구 상계9동(1135071000)","20,337","8,311","9,607","10,730"
"서울특별시 노원구 상계10동(1135072000)","18,548","7,569","8,596","9,952"
"서울특별시 은평구 (1138000000)","467,877","210,764","223,841","244,036"
"서울특별시 은평구 녹번동(1138051000)","36,361","17,276","17,221","19,140"
"서울특별시 은평구 불광제1동(1138052000)","38,093","17,457","17,969","20,124"
"서울특별시 은평구 불광제2동(1138053000)","27,222","13,756","13,186","14,036"
"서울특별시 은평구 갈현제1동(1138055100)","21,649","10,606","10,551","11,098"
"서울특별시 은평구 갈현제2동(1138055200)","27,915","12,420","13,226","14,689"
"서울특별시 은평구 구산동(1138056000)","31,929","13,111","15,625","16,304"
"서울특별시 은평구 대조동(1138057000)","26,351","14,138","12,248","14,103"
"서울특별시 은평구 응암제1동(1138058000)","32,641","14,718","15,448","17,193"
"서울특별시 은평구 응암제2동(1138059000)","27,428","10,904","13,328","14,100"
"서울특별시 은평구 응암제3동(1138060000)","24,068","12,293","11,711","12,357"
"서울특별시 은평구 역촌동(1138062500)","44,950","20,503","21,097","23,853"
"서울특별시 은평구 신사제1동(1138063100)","26,814","11,755","12,928","13,886"
"서울특별시 은평구 신사제2동(1138063200)","20,015","8,833","9,998","10,017"
"서울특별시 은평구 증산동(1138064000)","14,746","6,645","7,200","7,546"
"서울특별시 은평구 수색동(1138065000)","12,573","5,272","6,190","6,383"
"서울특별시 은평구 진관동(1138069000)","55,122","21,077","25,915","29,207"
"서울특별시 서대문구 (1141000000)","300,769","140,768","143,771","156,998"
"서울특별시 서대문구 천연동(1141052000)","16,887","7,565","7,997","8,890"
"서울특별시 서대문구 북아현동(1141055500)","15,755","7,082","7,564","8,191"
"서울특별시 서대문구 충현동(1141056500)","20,074","10,062","9,666","10,408"
"서울특별시 서대문구 신촌동(1141058500)","19,244","13,646","8,528","10,716"
"서울특별시 서대문구 연희동(1141061500)","34,442","18,233","16,487","17,955"
"서울특별시 서대문구 홍제제1동(1141062000)","23,403","10,242","10,970","12,433"
"서울특별시 서대문구 홍제제3동(1141064000)","15,096","6,849","7,306","7,790"
"서울특별시 서대문구 홍제제2동(1141065500)","13,563","5,714","6,402","7,161"
"서울특별시 서대문구 홍은제1동(1141066000)","22,438","9,547","10,828","11,610"
"서울특별시 서대문구 홍은제2동(1141068500)","26,031","11,990","12,588","13,443"
"서울특별시 서대문구 남가좌제1동(1141069000)","15,235","5,545","7,299","7,936"
"서울특별시 서대문구 남가좌제2동(1141070000)","29,476","13,127","14,259","15,217"
"서울특별시 서대문구 북가좌제1동(1141071000)","17,848","6,789","8,606","9,242"
"서울특별시 서대문구 북가좌제2동(1141072000)","31,277","14,377","15,271","16,006"
"서울특별시 마포구 (1144000000)","364,020","176,195","171,124","192,896"
"서울특별시 마포구 아현동(1144055500)","24,816","10,115","11,623","13,193"
"서울특별시 마포구 공덕동(1144056500)","36,802","18,232","17,293","19,509"
"서울특별시 마포구 도화동(1144058500)","20,886","9,101","9,965","10,921"
"서울특별시 마포구 용강동(1144059000)","21,360","9,218","10,109","11,251"
"서울특별시 마포구 대흥동(1144060000)","14,133","8,337","6,848","7,285"
"서울특별시 마포구 염리동(1144061000)","16,457","7,481","7,909","8,548"
"서울특별시 마포구 신수동(1144063000)","22,298","9,856","10,856","11,442"
"서울특별시 마포구 서강동(1144065500)","24,629","11,944","11,717","12,912"
"서울특별시 마포구 서교동(1144066000)","24,337","15,010","11,142","13,195"
"서울특별시 마포구 합정동(1144068000)","16,877","9,150","7,805","9,072"
"서울특별시 마포구 망원제1동(1144069000)","19,761","10,116","9,244","10,517"
"서울특별시 마포구 망원제2동(1144070000)","18,446","8,374","8,666","9,780"
"서울특별시 마포구 연남동(1144071000)","14,676","8,469","6,936","7,740"
"서울특별시 마포구 성산제1동(1144072000)","18,717","9,244","8,804","9,913"
"서울특별시 마포구 성산제2동(1144073000)","39,225","18,953","17,707","21,518"
"서울특별시 마포구 상암동(1144074000)","30,600","12,595","14,500","16,100"
"서울특별시 양천구 (1147000000)","443,638","178,823","217,320","226,318"
"서울특별시 양천구 목1동(1147051000)","30,554","10,279","14,682","15,872"
"서울특별시 양천구 목2동(1147052000)","29,623","13,205","14,408","15,215"
"서울특별시 양천구 목3동(1147053000)","21,548","9,842","10,277","11,271"
"서울특별시 양천구 목4동(1147054000)","25,183","10,007","12,307","12,876"
"서울특별시 양천구 목5동(1147055000)","40,924","13,288","20,314","20,610"
"서울특별시 양천구 신월1동(1147056000)","20,172","10,043","10,346","9,826"
"서울특별시 양천구 신월2동(1147057000)","20,552","8,382","10,037","10,515"
"서울특별시 양천구 신월3동(1147058000)","14,985","7,750","7,890","7,095"
"서울특별시 양천구 신월4동(1147059000)","17,801","6,803","8,692","9,109"
"서울특별시 양천구 신월5동(1147060000)","14,485","6,370","7,178","7,307"
"서울특별시 양천구 신월6동(1147061000)","13,787","5,270","6,738","7,049"
"서울특별시 양천구 신월7동(1147061100)","19,575","9,066","9,563","10,012"
"서울특별시 양천구 신정1동(1147062000)","20,220","7,000","9,847","10,373"
"서울특별시 양천구 신정2동(1147063000)","19,376","6,932","9,506","9,870"
"서울특별시 양천구 신정3동(1147064000)","49,274","19,120","23,968","25,306"
"서울특별시 양천구 신정4동(1147065000)","32,424","15,963","15,783","16,641"
"서울특별시 양천구 신정6동(1147067000)","24,390","8,178","11,880","12,510"
"서울특별시 양천구 신정7동(1147068000)","28,765","11,325","13,904","14,861"
"서울특별시 강서구 (1150000000)","569,756","267,906","273,968","295,788"
"서울특별시 강서구 염창동(1150051000)","41,344","16,125","20,006","21,338"
"서울특별시 강서구 등촌제1동(1150052000)","24,064","13,488","11,164","12,900"
"서울특별시 강서구 등촌제2동(1150053000)","20,163","8,567","9,850","10,313"
"서울특별시 강서구 등촌제3동(1150053500)","30,310","14,850","14,362","15,948"
"서울특별시 강서구 화곡제1동(1150054000)","51,282","27,286","24,892","26,390"
"서울특별시 강서구 화곡제2동(1150055000)","17,704","8,087","8,591","9,113"
"서울특별시 강서구 화곡제3동(1150056000)","21,383","9,550","10,221","11,162"
"서울특별시 강서구 화곡제4동(1150057000)","20,383","9,628","9,950","10,433"
"서울특별시 강서구 화곡본동(1150059000)","33,903","17,035","16,416","17,487"
"서울특별시 강서구 화곡제6동(1150059100)","24,642","12,410","11,908","12,734"
"서울특별시 강서구 화곡제8동(1150059300)","24,176","11,653","11,641","12,535"
"서울특별시 강서구 가양제1동(1150060300)","33,882","20,382","15,477","18,405"
"서울특별시 강서구 가양제2동(1150060400)","13,871","7,934","6,532","7,339"
"서울특별시 강서구 가양제3동(1150060500)","14,889","7,802","6,907","7,982"
"서울특별시 강서구 발산제1동(1150061100)","36,170","13,300","17,095","19,075"
"서울특별시 강서구 우장산동(1150061500)","42,612","15,883","20,391","22,221"
"서울특별시 강서구 공항동(1150062000)","30,588","13,894","15,400","15,188"
"서울특별시 강서구 방화제1동(1150063000)","42,674","17,096","20,798","21,876"
"서울특별시 강서구 방화제2동(1150064000)","23,106","11,804","11,401","11,705"
"서울특별시 강서구 방화제3동(1150064100)","22,610","11,132","10,966","11,644"
"서울특별시 구로구 (1153000000)","393,822","178,660","193,908","199,914"
"서울특별시 구로구 신도림동(1153051000)","35,897","13,611","17,434","18,463"
"서울특별시 구로구 구로제1동(1153052000)","20,701","8,268","10,136","10,565"
"서울특별시 구로구 구로제2동(1153053000)","23,497","12,353","11,854","11,643"
"서울특별시 구로구 구로제3동(1153054000)","23,346","13,191","11,980","11,366"
"서울특별시 구로구 구로제4동(1153055000)","19,435","10,451","9,413","10,022"
"서울특별시 구로구 구로제5동(1153056000)","28,970","14,949","14,050","14,920"
"서울특별시 구로구 가리봉동(1153059500)","8,720","5,774","4,728","3,992"
"서울특별시 구로구 고척제1동(1153072000)","22,200","9,355","11,040","11,160"
"서울특별시 구로구 고척제2동(1153073000)","26,481","11,401","13,122","13,359"
"서울특별시 구로구 개봉제1동(1153074000)","33,551","14,746","16,728","16,823"
"서울특별시 구로구 개봉제2동(1153075000)","30,684","12,423","14,942","15,742"
"서울특별시 구로구 개봉제3동(1153076000)","20,073","8,712","9,747","10,326"
"서울특별시 구로구 오류제1동(1153077000)","22,367","11,950","10,853","11,514"
"서울특별시 구로구 오류제2동(1153078000)","38,210","15,409","18,369","19,841"
"서울특별시 구로구 수궁동(1153079000)","23,354","9,930","11,508","11,846"
"서울특별시 구로구 항동(1153080000)","16,336","6,137","8,004","8,332"
"서울특별시 금천구 (1154500000)","228,631","115,843","115,271","113,360"
"서울특별시 금천구 가산동(1154551000)","23,347","16,536","12,663","10,684"
"서울특별시 금천구 독산제1동(1154561000)","44,628","23,092","22,835","21,793"
"서울특별시 금천구 독산제2동(1154562000)","18,512","9,363","9,353","9,159"
"서울특별시 금천구 독산제3동(1154563000)","23,833","12,443","11,925","11,908"
"서울특별시 금천구 독산제4동(1154564000)","14,965","7,522","7,487","7,478"
"서울특별시 금천구 시흥제1동(1154567000)","32,485","15,856","16,131","16,354"
"서울특별시 금천구 시흥제2동(1154568000)","21,111","8,177","10,151","10,960"
"서울특별시 금천구 시흥제3동(1154569000)","10,707","4,673","5,328","5,379"
"서울특별시 금천구 시흥제4동(1154570000)","20,034","8,965","9,912","10,122"
"서울특별시 금천구 시흥제5동(1154571000)","19,009","9,216","9,486","9,523"
"서울특별시 영등포구 (1156000000)","372,586","183,819","183,635","188,951"
"서울특별시 영등포구 영등포본동(1156051500)","20,939","10,181","10,723","10,216"
"서울특별시 영등포구 영등포동(1156053500)","28,845","20,054","15,077","13,768"
"서울특별시 영등포구 여의동(1156054000)","32,462","13,101","15,244","17,218"
"서울특별시 영등포구 당산제1동(1156055000)","20,073","10,615","9,822","10,251"
"서울특별시 영등포구 당산제2동(1156056000)","37,212","18,656","17,442","19,770"
"서울특별시 영등포구 도림동(1156058500)","17,527","9,205","8,823","8,704"
"서울특별시 영등포구 문래동(1156060500)","32,356","12,958","15,823","16,533"
"서울특별시 영등포구 양평제1동(1156061000)","18,093","9,591","8,833","9,260"
"서울특별시 영등포구 양평제2동(1156062000)","22,138","10,528","10,867","11,271"
"서울특별시 영등포구 신길제1동(1156063000)","17,109","10,409","8,705","8,404"
"서울특별시 영등포구 신길제3동(1156065000)","16,409","7,531","8,101","8,308"
"서울특별시 영등포구 신길제4동(1156066000)","12,210","5,654","6,067","6,143"
"서울특별시 영등포구 신길제5동(1156067000)","10,443","4,671","5,080","5,363"
"서울특별시 영등포구 신길제6동(1156068000)","18,813","8,930","9,167","9,646"
"서울특별시 영등포구 신길제7동(1156069000)","19,806","7,789","9,879","9,927"
"서울특별시 영등포구 대림제1동(1156070000)","14,349","6,984","7,135","7,214"
"서울특별시 영등포구 대림제2동(1156071000)","11,736","6,720","5,787","5,949"
"서울특별시 영등포구 대림제3동(1156072000)","22,066","10,242","11,060","11,006"
"서울특별시 동작구 (1159000000)","381,596","181,998","184,538","197,058"
"서울특별시 동작구 노량진제1동(1159051000)","31,469","15,786","15,823","15,646"
"서울특별시 동작구 노량진제2동(1159052000)","10,584","6,757","5,458","5,126"
"서울특별시 동작구 상도제1동(1159053000)","43,663","21,109","21,184","22,479"
"서울특별시 동작구 상도제2동(1159054000)","27,858","12,419","13,419","14,439"
"서울특별시 동작구 상도제3동(1159055000)","24,288","11,848","11,575","12,713"
"서울특별시 동작구 상도제4동(1159056000)","28,338","13,915","13,740","14,598"
"서울특별시 동작구 흑석동(1159060500)","31,105","13,819","15,179","15,926"
"서울특별시 동작구 사당제1동(1159062000)","22,646","13,336","10,785","11,861"
"서울특별시 동작구 사당제2동(1159063000)","27,502","12,016","13,166","14,336"
"서울특별시 동작구 사당제3동(1159064000)","24,078","10,279","11,672","12,406"
"서울특별시 동작구 사당제4동(1159065000)","14,033","7,076","6,714","7,319"
"서울특별시 동작구 사당제5동(1159065100)","14,340","6,527","6,897","7,443"
"서울특별시 동작구 대방동(1159066000)","37,674","17,050","17,854","19,820"
"서울특별시 동작구 신대방제1동(1159067000)","22,975","10,091","11,015","11,960"
"서울특별시 동작구 신대방제2동(1159068000)","21,043","9,970","10,057","10,986"
"서울특별시 관악구 (1162000000)","480,924","272,801","241,371","239,553"
"서울특별시 관악구 보라매동(1162052500)","24,164","12,762","11,882","12,282"
"서울특별시 관악구 청림동(1162054500)","15,017","6,386","7,308","7,709"
"서울특별시 관악구 성현동(1162056500)","28,970","12,150","13,972","14,998"
"서울특별시 관악구 행운동(1162057500)","28,681","17,458","13,918","14,763"
"서울특별시 관악구 낙성대동(1162058500)","16,659","11,092","8,365","8,294"
"서울특별시 관악구 청룡동(1162059500)","35,087","23,094","16,902","18,185"
"서울특별시 관악구 은천동(1162060500)","32,927","15,885","16,036","16,891"
"서울특별시 관악구 중앙동(1162061500)","14,950","9,676","7,186","7,764"
"서울특별시 관악구 인헌동(1162062500)","25,579","14,240","12,438","13,141"
"서울특별시 관악구 남현동(1162063000)","17,917","9,564","8,642","9,275"
"서울특별시 관악구 서원동(1162064500)","22,377","14,151","11,564","10,813"
