,name,name_eng,problems
10462,기암유치원,Giam Kindergarten,"[('유치원', 'Kindergarden')]"
10525,청일초등학교 병설유치원,Kindergarten attached to Cheongil Elementary School,"[('유치원', 'Kindergarden')]"
10850,인천동춘초등학교병설유치원,Kindergarten attached to Incheon Dongchun Elementary School,"[('유치원', 'Kindergarden')]"
10952,인동초등학교병설유치원,Kindergarten attached to Indong Elementary School,"[('유치원', 'Kindergarden')]"
11033,정철어학원주니어 구월캠퍼스,Jeongcheol Language School Junior Guwol Campus,"[('학원', 'Academy')]"
11148,페이스국어학원,face language school,"[('학원', 'Academy')]"
11156,사과나무어린이집,Apple Tree Nursery,"[('어린이집', 'Daycare')]"
11162,청천예어린이집,Cheongcheon Art Nursery,"[('어린이집', 'Daycare')]"
11164,한양수자인관리동어린이집,Hanyang Soojain Management Building Day care Center,"[('어린이집', 'Daycare')]"
11244,이혜경고등수학학원,Hyekyung Lee High School of Mathematics,"[('학원', 'Academy')]"
11318,연세유치원,Yonsei Kindergarten,"[('유치원', 'Kindergarden')]"
11393,산새소리유치원,Sansaesori Kindergarten,"[('유치원', 'Kindergarden')]"
11405,이화어린이집,Ewha Nursery School,"[('어린이집', 'Daycare')]"
11483,대우늘푸른어린이집,Daewooneul Blue Nursery,"[('어린이집', 'Daycare')]"
11524,앨리스어린이집,Alice Nursery,"[('어린이집', 'Daycare')]"
11626,대화초등학교 병설유치원,Kindergarten attached to Daehwa Elementary School,"[('유치원', 'Kindergarden')]"
11695,송현초어린이집,Songhyeon Elementary School,"[('어린이집', 'Daycare')]"
11719,소나무어린이집,Dream Tree Montessori Nursery School,"[('어린이집', 'Daycare')]"
11881,에듀피아유치원,edupia kindergarten,"[('유치원', 'Kindergarden')]"
12103,꼬마정원유치원,Little Garden Kindergarten,"[('유치원', 'Kindergarden')]"
12158,완정초등학교 병설유치원,Wanjeong Elementary School  Auxiliary Kindergarten,"[('유치원', 'Kindergarden')]"
12174,인천예송초등학교병설유치원,Incheon Yesong Elementary School Auxiliary Kindergarten,"[('유치원', 'Kindergarden')]"
12355,GnB어학원 가좌1캠퍼스,GnB Language School Gajwa 1 Campus,"[('학원', 'Academy')]"
12457,뜨락어린이집,Trek Nursery,"[('어린이집', 'Daycare')]"
12461,새싹어린이집,Sprout Nursery,"[('어린이집', 'Daycare')]"
12706,연세간호학원,Yonsei Nursing School,"[('학원', 'Academy')]"
12765,봄빛어린이집,spring day nursery,"[('어린이집', 'Daycare')]"
12804,솔빛유치원,Solbit Kindergarten,"[('유치원', 'Kindergarden')]"
12850,뽀로롱아이어린이집,Pororon Child Nursery,"[('어린이집', 'Daycare')]"
12859,사랑이넘치는어린이집,Nursery full of love,"[('어린이집', 'Daycare')]"
13031,제이앤케이영수학원,J&K Young Education Academy,"[('수학', 'Math')]"
13064,일영유치원,Ilyoung Kindergarten,"[('유치원', 'Kindergarden')]"
13070,보듬손어린이집,Bodeumson Nursery School,"[('어린이집', 'Daycare')]"
13100,석남초등학교 병설유치원,Seoknam Elementary School  Auxiliary Kindergarten,"[('유치원', 'Kindergarden')]"
13109,아림유치원,Arim Kindergarten,"[('유치원', 'Kindergarden')]"
13116,외대어학원 남동캠퍼스,Foreign Language Institute Namdong Campus,"[('학원', 'Academy')]"
13169,동심어린이집,Concentric Nursery,"[('어린이집', 'Daycare')]"
13208,인천청라초등학교 병설유치원,Incheon Cheongna Elementary School  Auxiliary Kindergarten,"[('유치원', 'Kindergarden')]"
13296,송일초등학교병설유치원,Kindergarten attached to Songil Elementary School,"[('유치원', 'Kindergarden')]"
13405,예쁜우리어린이집,Pretty Woori Nursery,"[('어린이집', 'Daycare')]"
13422,은하유치원,Eunha Kindergarten,"[('유치원', 'Kindergarden')]"
13464,자연유치원,natural kindergarten,"[('유치원', 'Kindergarden')]"
13536,효성이스턴어학원,Hyosung Stern Language School,"[('학원', 'Academy')]"
13550,논현유치원,Nonhyeon Kindergarten,"[('유치원', 'Kindergarden')]"
13753,아가숲어린이집,Baby Forest Nursery,"[('어린이집', 'Daycare')]"
13767,동아자동차운전전문학원,Dong-A Motor Driving School,"[('학원', 'Academy')]"
13772,GMA개념원리학원 연수선학제1교육원,GMA Concept Principles Institute Yeonsu Seonhak 1st Education Center,"[('학원', 'Academy')]"
13863,예쁜뜰어린이집,Pretty Garden Nursery,"[('어린이집', 'Daycare')]"
14002,푸른숲어린이집,Blue Forest Nursery School,"[('어린이집', 'Daycare')]"
14062,진수학영어학원,Jinsu Science English Academy,"[('수학', 'Math')]"
14181,영보유치원,Youngbo Kindergarten,"[('유치원', 'Kindergarden')]"
14209,산수학,arithmetic,"[('수학', 'Math')]"
14260,고강학원,high school,"[('학원', 'Academy')]"
14492,꿈꾸는어린이집,dream nursery,"[('어린이집', 'Daycare')]"
14518,아이랑어린이집,child and nursery,"[('어린이집', 'Daycare')]"
14597,이바IBA유치원,Iba IBA Kindergarten,"[('유치원', 'Kindergarden')]"
14615,예인어린이집,Yein Nursery,"[('어린이집', 'Daycare')]"
14654,해처럼별처럼어린이집,"Like the sun, like the stars, nursery school","[('어린이집', 'Daycare')]"
14662,부평엘리트영수전문학원,Bupyeong elite training school,"[('학원', 'Academy')]"
14716,문학어린이집,Literature Nursery,"[('어린이집', 'Daycare')]"
14729,하늘채어린이집,Sky Chae Nursery,"[('어린이집', 'Daycare')]"
14761,다슬기유치원,Daseulgi Kindergarten,"[('유치원', 'Kindergarden')]"
15036,청어람국어학원,Cheongeoram Korean Language School,"[('학원', 'Academy')]"
15217,제니스유치원,Zenith Kindergarten,"[('유치원', 'Kindergarden')]"
15330,꼬마별어린이집,Little Star Nursery,"[('어린이집', 'Daycare')]"
15453,인천동방초등학교병설유치원,Incheon Dongbang Elementary School Auxiliary Kindergarten,"[('유치원', 'Kindergarden')]"
15485,중앙유치원,Central Kindergarten,"[('유치원', 'Kindergarden')]"
15704,아이큰숲어린이집,Ikeun Forest Nursery School,"[('어린이집', 'Daycare')]"
15860,큰샛별어린이집,Big Saetbyul Nursery School,"[('어린이집', 'Daycare')]"
16171,한빛유치원,Hanbit Kindergarten,"[('유치원', 'Kindergarden')]"
16189,정원어린이집,garden nursery,"[('어린이집', 'Daycare')]"
16371,꿈이쑥쑥어린이집,Dream Growing Nursery,"[('어린이집', 'Daycare')]"
16401,사랑나무어린이집,Love Tree Nursery,"[('어린이집', 'Daycare')]"
16450,은현유치원,Eunhyeon Kindergarten,"[('유치원', 'Kindergarden')]"
16539,모차르트음악학원,Mozart School of Music,"[('학원', 'Academy')]"
16548,위너클래스 국어학원,Winner Class Korean Language School,"[('학원', 'Academy')]"
16700,현수학교습소,suspension school,"[('수학', 'Math')]"
16747,동화그림어린이집,fairy tale picture nursery,"[('어린이집', 'Daycare')]"
16801,용마초등학교병설유치원,Kindergarten attached to Yongma Elementary School,"[('유치원', 'Kindergarden')]"
16857,포도나무어린이집,Vine Nursery,"[('어린이집', 'Daycare')]"
16877,엄마사랑어린이집,mother love nursery,"[('어린이집', 'Daycare')]"
16903,에벤에셀어린이집,Ebenezer Nursery School,"[('어린이집', 'Daycare')]"
17280,비둘기어린이집,Pigeon Nursery,"[('어린이집', 'Daycare')]"
17282,인천용학초등학교 병설유치원,Incheon Yonghak Elementary School  Auxiliary Kindergarten,"[('유치원', 'Kindergarden')]"
17369,다빈치어린이집,Da Vinci Nursery School,"[('어린이집', 'Daycare')]"
17544,꼬마캐슬어린이집,Little Castle Nursery,"[('어린이집', 'Daycare')]"
17574,줄리어드 뮤직허브 음악학원,Juilliard Music Hub Conservatory of Music,"[('학원', 'Academy')]"
17604,큰사랑어린이집,big love nursery,"[('어린이집', 'Daycare')]"
17661,인천경명초등학교병설유치원,Incheon Gyeongmyeong Elementary School Auxiliary Kindergarten,"[('유치원', 'Kindergarden')]"
17975,칼비테어린이집,Calvite Nursery School,"[('어린이집', 'Daycare')]"
18116,그린숲어린이집,Green Forest Nursery School,"[('어린이집', 'Daycare')]"
18218,도담쁘띠어린이집,Dodam Petit Nursery School,"[('어린이집', 'Daycare')]"
18339,호반사랑어린이집,Hoban Love Nursery School,"[('어린이집', 'Daycare')]"
18565,명문학원,prestigious school,"[('학원', 'Academy')]"
18580,삼성영어 인동초교실,Samsung English Indong Elementary School,"[('교실', 'Class')]"
18734,가림초등학교병설유치원,Kindergarten attached to Garim Elementary School,"[('유치원', 'Kindergarden')]"
18894,봄온어린이집,Spring On Nursery,"[('어린이집', 'Daycare')]"
18920,동진유치원,Dongjin Kindergarten,"[('유치원', 'Kindergarden')]"
19147,부평4동어린이집,Bupyeong 4-dong Day care Center,"[('어린이집', 'Daycare')]"
19204,J&J 스터디 J&J어학원,J&J Study J&J Language School,"[('학원', 'Academy')]"
19257,재롱이어린이집,Jaerongi Nursery School,"[('어린이집', 'Daycare')]"
19270,좋은나무학원,good tree school,"[('학원', 'Academy')]"
19332,더퍼스트어학원,The First Language School,"[('학원', 'Academy')]"
19360,사랑어린이집,love nursery,"[('어린이집', 'Daycare')]"
19414,솜사탕어린이집,Cotton Candy Nursery,"[('어린이집', 'Daycare')]"
19475,아트윈도담어린이집,Art Window Dam Nursery School,"[('어린이집', 'Daycare')]"
19482,푸른아이어린이집,Blue Child Nursery,"[('어린이집', 'Daycare')]"
19522,신나는삐아제어린이집,Exciting Piaget Nursery School,"[('어린이집', 'Daycare')]"
19693,호반놀이스쿨어린이집,Hoban Play School Nursery School,"[('어린이집', 'Daycare')]"
19740,은빛나무어린이집,Silver Tree Nursery,"[('어린이집', 'Daycare')]"
19838,인천도배기술교육학원,Incheon Dobae Technical Education Institute,"[('학원', 'Academy')]"
19873,푸른꿈어린이집,Blue Dream Nursery School,"[('어린이집', 'Daycare')]"
19902,솔로몬 영재학원,Solomon gifted school,"[('학원', 'Academy')]"
20203,바흐음악학원,Bach School of Music,"[('학원', 'Academy')]"
20503,계양초등학교 상야분교장병설유치원,Gyeyang Elementary School Sangya Branch Principal Affiliated Kindergarten,"[('유치원', 'Kindergarden')]"
20570,Premium YBM 잉글루 루원시티 어학원 1관,Premium YBM Ingloo Luwon City Language School Building 1,"[('학원', 'Academy')]"
20635,사과나무어린이집,Apple Tree Nursery,"[('어린이집', 'Daycare')]"
20693,삼산군립어린이집,Samsan County Day care Center,"[('어린이집', 'Daycare')]"
20707,행복담은어린이집,Happy Kindergarten,"[('어린이집', 'Daycare')]"
20762,이소어린이집,Leeso Nursery,"[('어린이집', 'Daycare')]"
21239,통통따따어린이집,Tong Tong Tata Nursery School,"[('어린이집', 'Daycare')]"
21259,음악속 아이들 음악학원,Children in music music school,"[('학원', 'Academy')]"
21333,미주유치원,America Kindergarten,"[('유치원', 'Kindergarden')]"
21339,인천아라꿈유치원,Incheon Arakum Kindergarten,"[('유치원', 'Kindergarden')]"
21352,뜰안에어린이집,nursery in the yard,"[('어린이집', 'Daycare')]"
21696,엘림어린이집,Elim Nursery,"[('어린이집', 'Daycare')]"
21819,인천기술사학원,Incheon Institute of Technology History,"[('학원', 'Academy')]"
21891,꼬마별어린이집,Little Star Nursery,"[('어린이집', 'Daycare')]"
21900,보물단지어린이집,Treasure Complex Nursery School,"[('어린이집', 'Daycare')]"
22054,시엘자동차운전전문학원,Ciel Motor Driving School,"[('학원', 'Academy')]"
22087,주원초등학교병설유치원,Kindergarten attached to Juwon Elementary School,"[('유치원', 'Kindergarden')]"
22146,푸른솔어린이집,Bluesol Nursery School,"[('어린이집', 'Daycare')]"
22194,백합어린이집,Lily Nursery,"[('어린이집', 'Daycare')]"
22234,엠마누엘어린이집,Emmanuel Nursery School,"[('어린이집', 'Daycare')]"
22410,해나라어린이집,Haenara Nursery School,"[('어린이집', 'Daycare')]"
22574,새예지유치원,Saeyeji Kindergarten,"[('유치원', 'Kindergarden')]"
22617,해나라어린이집,Haenara Nursery School,"[('어린이집', 'Daycare')]"
22642,레인보우어학원,Rainbow Language School,"[('학원', 'Academy')]"
22810,인천신현북초등학교 병설유치원,Incheon Shinhyeonbuk Elementary School  Auxiliary Kindergarten,"[('유치원', 'Kindergarden')]"
22852,귀여운어린이집,cute nursery,"[('어린이집', 'Daycare')]"
22898,백강누수탐지기술학원,Baekgang Leak Detection Technology Institute,"[('학원', 'Academy')]"
22940,튼튼어린이집,strong nursery,"[('어린이집', 'Daycare')]"
23117,예인아트어린이집,Yein Art Nursery,"[('어린이집', 'Daycare')]"
23268,라온어린이집,Raon Nursery School,"[('어린이집', 'Daycare')]"
23319,다사랑어린이집,Dasarang Nursery School,"[('어린이집', 'Daycare')]"
23333,별마로어린이집,Byeolmaro Nursery School,"[('어린이집', 'Daycare')]"
23511,하늘숲어린이집,Sky Forest Nursery School,"[('어린이집', 'Daycare')]"
23573,부평3동어린이집,Bupyeong 3-dong Day care Center,"[('어린이집', 'Daycare')]"
23716,송도클로버수학과학교육학원,Songdo Clover Mathematics and Education Institute,"[('학원', 'Academy')]"
23732,한우리어린이집,Hanwoori Nursery,"[('어린이집', 'Daycare')]"
23768,주사랑어린이집,Jusarang Nursery School,"[('어린이집', 'Daycare')]"
24115,명문유치원,prestigious kindergarten,"[('유치원', 'Kindergarden')]"
24142,꿈꾸는나무어린이집,Dream Tree Nursery,"[('어린이집', 'Daycare')]"
24153,부일초등학교병설유치원,Kindergarten attached to Buil Elementary School,"[('유치원', 'Kindergarden')]"
24156,Premium YBM 잉글루 루원시티 어학원 2관,Premium YBM Ingloo Luwon City Language School Building 2,"[('학원', 'Academy')]"
24223,인천금마초등학교병설유치원,Incheon Geumma Elementary School Attached Kindergarten,"[('유치원', 'Kindergarden')]"
24224,예나어린이집,Jena Nursery,"[('어린이집', 'Daycare')]"
24234,세계로학원,world road school,"[('학원', 'Academy')]"
24332,예림유치원,Yerim Kindergarten,"[('유치원', 'Kindergarden')]"
24454,와이엔 & 정글어학원,Yen & Jungle Language School,"[('학원', 'Academy')]"
24474,인천첨단초등학교병설유치원,Incheon Advanced Elementary School Auxiliary Kindergarten,"[('유치원', 'Kindergarden')]"
24651,꿈사랑어린이집,Dream Love Nursery,"[('어린이집', 'Daycare')]"
24691,꿈동산어린이집,Dream Garden Nursery School,"[('어린이집', 'Daycare')]"
24805,이하오중국어학원,Lee Hao Chinese Language School,"[('학원', 'Academy')]"
24948,EiE어학원 인천계양캠퍼스,EiE Language School Incheon Gyeyang Campus,"[('학원', 'Academy')]"
25007,송림초등학교병설유치원,Kindergarten attached to Songlim Elementary School,"[('유치원', 'Kindergarden')]"
25109,토마토어린이집,Tomato Nursery,"[('어린이집', 'Daycare')]"
25162,인천구월유치원,Incheon Guwol Kindergarten,"[('유치원', 'Kindergarden')]"
25251,하은어린이집,Haeun Nursery School,"[('어린이집', 'Daycare')]"
25267,갑룡초등학교 병설유치원,Gapryong Elementary School  Auxiliary Kindergarten,"[('유치원', 'Kindergarden')]"
25296,꾸미어린이집,Decorating Nursery,"[('어린이집', 'Daycare')]"
25313,신석에듀스쿨어린이집,Shinseok Edu School Day care Center,"[('어린이집', 'Daycare')]"
25424,별아어린이집,Byeol Child Nursery,"[('어린이집', 'Daycare')]"
25452,숙명차일드스쿨어린이집,Sookmyung Child School Day care Center,"[('어린이집', 'Daycare')]"
25480,아기별어린이집,Baby Star Nursery,"[('어린이집', 'Daycare')]"
25707,한빛유치원,Hanbit Kindergarten,"[('유치원', 'Kindergarden')]"
25768,큰원어린이집,Keunwon Nursery School,"[('어린이집', 'Daycare')]"
25838,아이꿈터어린이집,Child Dream Nursery,"[('어린이집', 'Daycare')]"
25917,숭의어린이집,Sungui Nursery School,"[('어린이집', 'Daycare')]"
25962,이솝어린이집,Aesop Nursery School,"[('어린이집', 'Daycare')]"
25993,SNU 수학과학 학원,SNU Mathematics Graduate,"[('학원', 'Academy')]"
26124,꿈동이어린이집,Dream Dream Nursery,"[('어린이집', 'Daycare')]"
26267,유엔유치원,UN Kindergarten,"[('유치원', 'Kindergarden')]"
26342,사랑나무어린이집,Love Tree Nursery,"[('어린이집', 'Daycare')]"
26388,근산유치원,Geunsan Kindergarten,"[('유치원', 'Kindergarden')]"
26467,도림초등학교병설유치원,Kindergarten attached to Dorim Elementary School,"[('유치원', 'Kindergarden')]"
26734,솔바람어린이집,Solbaram Nursery School,"[('어린이집', 'Daycare')]"
26795,푸른솔어린이집,Bluesol Nursery School,"[('어린이집', 'Daycare')]"
26808,연평초등학교 병설유치원,Yeonpyeong Elementary School  Auxiliary Kindergarten,"[('유치원', 'Kindergarden')]"
26902,푸른정원어린이집,Blue Garden Nursery School,"[('어린이집', 'Daycare')]"
26966,SELS어학원 센트럴본점,SELS Language School Central Main Branch,"[('학원', 'Academy')]"
27048,예그린어린이집,Yegreen Nursery School,"[('어린이집', 'Daycare')]"
27191,영어집중력기억법학원,English Concentration Memory Law School,"[('학원', 'Academy')]"
27264,그루터기 어린이집,stump nursery,"[('어린이집', 'Daycare')]"
27304,일등학원,first class,"[('학원', 'Academy')]"
27377,꿈의보람유치원,Dream Fun Kindergarten,"[('유치원', 'Kindergarden')]"
27443,구립갈매기어린이집,Gugu Seagull Nursery School,"[('어린이집', 'Daycare')]"
27508,예빛유치원,Yebit Kindergarten,"[('유치원', 'Kindergarden')]"
27531,용수학,arithmetic,"[('수학', 'Math')]"
27625,한울유치원,Hanul Kindergarten,"[('유치원', 'Kindergarden')]"
27702,인천영종A67블록아파트 어린이집,Incheon Yeongjong A67 Block Apartment Day care Center,"[('어린이집', 'Daycare')]"
27713,친구사랑어린이집,friend love nursery,"[('어린이집', 'Daycare')]"
27774,KCC 어학원,KCC Language School,"[('학원', 'Academy')]"
27778,줄리어드음악학원,Juilliard School of Music,"[('학원', 'Academy')]"
27886,생명나무어린이집,Tree of Life Nursery,"[('어린이집', 'Daycare')]"
27906,길상군립어린이집,Gilsang County Nursery School,"[('어린이집', 'Daycare')]"
28003,조은어린이집,Jo Eun Nursery,"[('어린이집', 'Daycare')]"
28013,해나라유치원,Haenara Kindergarten,"[('유치원', 'Kindergarden')]"
28038,주승현국어전문학원,Joo Seung-hyeon Korean Language Institute,"[('학원', 'Academy')]"
28099,국어의모든것학원,All Korean Language School,"[('학원', 'Academy')]"
28174,호반2차어린이집,Hoban Secondary Nursery,"[('어린이집', 'Daycare')]"
28256,색동원어린이집,Saekdongwon Nursery School,"[('어린이집', 'Daycare')]"
28672,논현사과나무어린이집,Nonhyeon Apple Tree Nursery,"[('어린이집', 'Daycare')]"
28702,이든아이어린이집,Eden Child Nursery,"[('어린이집', 'Daycare')]"
28711,숲속의어린이집,nursery in the forest,"[('어린이집', 'Daycare')]"
28837,수피아어린이집,Sufia Nursery School,"[('어린이집', 'Daycare')]"
28872,푸른어린이집,Blue Nursery,"[('어린이집', 'Daycare')]"
28995,용일초등학교병설유치원,Kindergarten attached to Yongil Elementary School,"[('유치원', 'Kindergarden')]"
29053,혜윰국어전문학원,Hyeyum Korean Language Institute,"[('학원', 'Academy')]"
29090,컬컴 인천부평점,Culcom Bupyeong,"[('인천', 'Incheon')]"
29112,금곡초등학교병설유치원,Kindergarten attached to Geumgok Elementary School,"[('유치원', 'Kindergarden')]"
29169,EiE어학원 인천옥련캠퍼스,EiE Language School Incheon Okryun Campus,"[('학원', 'Academy')]"
29196,산곡유치원,Sangok Kindergarten,"[('유치원', 'Kindergarden')]"
29236,지앤비어학원 논현캠퍼스,G&B Language School Nonhyeon Campus,"[('학원', 'Academy')]"
29265,예쁜아이어린이집,pretty child nursery,"[('어린이집', 'Daycare')]"
29284,뉴서울스포키즈어린이집,New Seoul Spokies Day care Center,"[('어린이집', 'Daycare')]"
29425,잠두유치원,Jamdu Kindergarten,"[('유치원', 'Kindergarden')]"
