,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
4836,4837,1266713,석남치과의원,,Seoknam Dental Clinic,Professional and Other Places,Dentist,126.6719246223069,37.50288840231369,대한민국,KOR,KOR,인천광역시,서구,,석남동,,가정로,201-1,583-73,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
4848,4849,1871468,신기치과의원,,Shinshin Dental Clinic,Professional and Other Places,Dentist,126.6772544455849,37.44839454258887,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,인하로,261,1437-2,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
4890,4891,1086078,즐거운치과의원,,Happy Dental Clinic,Professional and Other Places,Dentist,126.67904909999996,37.44784659999979,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,인하로,280,1315-4,2022-08-12 13:15:03,"의료시설||병원||병원,의원||치과||치과-일반",False
5030,5031,1039088,나광룡치과의원,나광룡치과의원,Na Kwang-ryong Dental Clinic,Professional and Other Places,Dentist,126.72084617751992,37.45193124569159,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,구월남로,280,1273-9,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
5587,5588,4346298,참조은박치과의원,,Reference Eun-Bak Dental Clinic,Professional and Other Places,Dentist,126.67048229999995,37.59542009999984,대한민국,KOR,KOR,인천광역시,서구,,마전동,,완정로,31,1016-1,2022-08-12 13:15:03,"의료시설||병원||병원,의원||치과||치과-일반",False
5905,5906,3132035,W플러스 치과의원,더블유플러스치과,W Plus Dental Clinic,Professional and Other Places,Dentist,126.73309739697692,37.5084044997357,대한민국,KOR,KOR,인천광역시,부평구,,삼산동,,체육관로,14,462-1,2022-09-06 15:18:26,"의료시설||병원||병원,의원||치과||치과-일반",False
5931,5932,48820,마전미소치과의원,미소치과의원,Majeon Smile Dental Clinic,Professional and Other Places,Dentist,126.66813517598187,37.60865537533601,대한민국,KOR,KOR,인천광역시,서구,,마전동,,마전로,117,1140-8,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
6582,6583,5589958,연세플란트치과의원,,Yonsei Plant Dental Clinic,Professional and Other Places,Dentist,126.6806419597559,37.46377006624108,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,미추홀대로,744,141-5,2022-09-06 15:18:26,"의료시설||병원||병원,의원||치과||치과-일반",False
6875,6876,968126,계양스마일치과의원,스마일치과의원,Gyeyang Smile Dental Clinic,Professional and Other Places,Dentist,126.72480213521791,37.54368958771831,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,경명대로,1059,931-90,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
7107,7108,4320111,서민치과의원,,Seomin Dental Clinic,Professional and Other Places,Dentist,126.69705183963788,37.46073811778847,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,경인로,520,520,2022-08-16 16:52:33,"의료시설||병원||병원,의원||치과||치과-일반",False
7286,7287,171860,장인호치과의원,,Janginho Dental Clinic,Professional and Other Places,Dentist,126.67228355039192,37.5033660187606,대한민국,KOR,KOR,인천광역시,서구,,석남동,,가정로,208,540-15,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
7966,7967,9336,이편한치과의원,,Lee Pyeon Han Dental Clinic ,Professional and Other Places,Dentist,126.48696699999986,37.74544699999991,대한민국,KOR,KOR,인천광역시,강화군,,강화읍,신문리,강화대로,395,685-3,2022-05-01 12:37:48,"의료시설||병원||병원,의원||치과||치과-일반",False
8180,8181,226068,서울수치과의원,수치과의원,Seoul Dental Clinic,Professional and Other Places,Dentist,126.64516944543288,37.47575115342877,대한민국,KOR,KOR,인천광역시,동구,,송림동,,송림로,96,60-5,2022-08-16 16:52:33,"의료시설||병원||병원,의원||치과||치과-일반",False
8340,8341,27181941,아산바우치과의원,,Asan Bau Dental Clinic,Professional and Other Places,Dentist,126.70776449999993,37.454390299999794,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,남동대로,809,1608,2022-08-24 14:41:06,"의료시설||병원||병원,의원||치과||치과-일반",False
8381,8382,20065899,청라꾸러기치과의원,검단꾸러기치과,Cheongna Kurooggi Dental Clinic,Professional and Other Places,Dentist,126.65162629999995,37.53338969999983,대한민국,KOR,KOR,인천광역시,서구,,청라동,,중봉대로612번길,10-16,162-6,2022-09-06 15:18:26,"의료시설||병원||병원,의원||치과||치과-일반",False
8385,8386,1263838,고운이라인치과의원,,Gowoon Line Dental Clinic,Professional and Other Places,Dentist,126.72064816409095,37.4936358979674,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,부평문화로,38,261-6,2022-05-01 12:37:48,"의료시설||병원||병원,의원||치과||치과-일반",False
8641,8642,1857348,상아플러스치과의원,,Sanga Plus Dental Clinic,Professional and Other Places,Dentist,126.62970363543384,37.47393853998207,대한민국,KOR,KOR,인천광역시,중구,,인현동,,우현로,75,42,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
8662,8663,4347781,이사랑치과의원,,Isarang Dental Clinic,Professional and Other Places,Dentist,126.6717181618479,37.506154383937584,대한민국,KOR,KOR,인천광역시,서구,,석남동,,길주로,90,538,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
8881,8882,1257960,이바르게치과의원,,Ibarge Dental Clinic,Professional and Other Places,Dentist,126.7009387446179,37.4705046515889,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,열우물로,21,419-1,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
8893,8894,61832,봄치과의원,,Spring Dental Clinic,Professional and Other Places,Dentist,126.73961019999997,37.503288199999815,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,부개로,61-6,498-11,2022-08-12 13:15:03,"의료시설||병원||병원,의원||치과||치과-일반",False
9163,9164,4337415,계산청원치과의원,,Gyesan Cheongwon Dental Clinic,Professional and Other Places,Dentist,126.72821987057291,37.537597063067295,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,계산새로,1,319-14,2022-08-12 13:15:03,"의료시설||병원||병원,의원||치과||치과-일반",False
9763,9764,3807981,유디계산치과의원,유디치과계산점,Yudi Calculation Dental Clinic,Professional and Other Places,Dentist,126.72607453428792,37.543128562310216,대한민국,KOR,KOR,인천광역시,계양구,,계산동,,경명대로,1074,945-3,2022-09-06 15:18:26,"의료시설||병원||병원,의원||치과||치과-일반",False
9934,9935,4338002,이봄치과의원,,Lee Bom Dental Clinic,Professional and Other Places,Dentist,126.70041717524488,37.47213182585229,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,열우물로,45,407-1,2022-08-24 14:41:06,"의료시설||병원||병원,의원||치과||치과-일반",False
10143,10144,574401,플러스치과의원,,Plus Dental Clinic,Professional and Other Places,Dentist,126.67266213346488,37.51747286227041,대한민국,KOR,KOR,인천광역시,서구,,신현동,,가정로,363,283-1,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
10551,10552,212882,조선호치과의원,,Chosun Ho Dental Clinic,Professional and Other Places,Dentist,126.74424011579293,37.4842006365294,대한민국,KOR,KOR,인천광역시,부평구,,일신동,,일신로14번길,24,108-25,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
10690,10691,1003460,연세해맑은치과의원,해맑은치과의원,Yonsei Haemulleun Dental Clinic,Professional and Other Places,Dentist,126.68258990000392,37.48878219999549,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,장고개로,277-1,247-1,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
10692,10693,418520,월드치과의원,월드치과의원,World Dental Clinic ,Professional and Other Places,Dentist,126.6797128055509,37.41361363358713,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,샘말로,56,624-11,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
10946,10947,483808,젠치과의원,,Zen Dental Clinic,Professional and Other Places,Dentist,126.63380954793584,37.47748163324589,대한민국,KOR,KOR,인천광역시,동구,,송현동,,송현로,9,72-82,2022-08-16 16:52:33,"의료시설||병원||병원,의원||치과||치과-일반",False
10987,10988,4325205,달콤어린이치과의원,,Dalkom Children's Dental Clinic,Professional and Other Places,Dentist,126.6340777999999,37.38897519999976,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,컨벤시아대로230번길,54,98-1,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
10988,10989,1266496,간석서울치과의원,서울치과,Ganseok Seoul Dental Clinic,Professional and Other Places,Dentist,126.71465169999996,37.4635245999998,대한민국,KOR,KOR,인천광역시,남동구,,간석동,,용천로,156,39-7,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
11907,11908,3123169,산치과의원,,San Dental Clinic,Professional and Other Places,Dentist,126.67263944561888,37.40747582191696,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,앵고개로,262,936-8,2022-08-16 16:52:33,"의료시설||병원||병원,의원||치과||치과-일반",False
11924,11925,812935,덕수치과의원,,Deoksu Dental Clinic,Professional and Other Places,Dentist,126.73980669490695,37.49881216891568,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,부개로,14,501-3,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
12034,12035,4342529,믿음치과의원,,Faith Dental Clinic ,Professional and Other Places,Dentist,126.72571207982791,37.50478067729389,대한민국,KOR,KOR,인천광역시,부평구,,부평동,,길주남로,35,890-4,2022-08-16 16:52:33,"의료시설||병원||병원,의원||치과||치과-일반",False
12147,12148,4358547,세정굿모닝치과의원,,Sejeong Good Morning Dental Clinic,Professional and Other Places,Dentist,126.63559337812283,37.48034632885939,대한민국,KOR,KOR,인천광역시,동구,,송현동,,수문통로,54-1,66-536,2022-05-01 12:37:48,"의료시설||병원||병원,의원||치과||치과-일반",False
12436,12437,792569,푸른하늘치과의원,푸른하늘치과의원,Blue Sky Dental Clinic,Professional and Other Places,Dentist,126.64484236844184,37.42461760117665,대한민국,KOR,KOR,인천광역시,연수구,,옥련동,,독배로,42,462-10,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
12478,12479,232742,서인천연합치과의원,서인천치과의원,Seoincheon Union Dental Clinic,Professional and Other Places,Dentist,126.67742433528988,37.513123024343386,대한민국,KOR,KOR,인천광역시,서구,,석남동,,서달로149번길,12-11,468-2,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
12518,12519,749147,백송치과의원,백송치과의원,Baeksong Dental Clinic,Professional and Other Places,Dentist,126.65695832534088,37.48492110913639,대한민국,KOR,KOR,인천광역시,동구,,송림동,,방축로,105,295,2022-05-01 12:37:48,"의료시설||병원||병원,의원||치과||치과-일반",False
12629,12630,3657909,청라오치과의원,오치과,Cheongnao Dental Clinic,Professional and Other Places,Dentist,126.65295159994587,37.533460400032894,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라라임로,65,162-9,2022-09-06 15:18:26,"의료시설||병원||병원,의원||치과||치과-일반",False
12692,12693,565932,신동아치과의원,,Shindonga Dental Clinic,Professional and Other Places,Dentist,126.67822909999985,37.442946699999766,대한민국,KOR,KOR,인천광역시,미추홀구,,학익동,,학익소로61번길,139,48-1,2022-05-01 12:37:48,"의료시설||병원||병원,의원||치과||치과-일반",False
12945,12946,252720,변영환치과,변영환치과의원,Byun Younghwan Dental Clinic,Professional and Other Places,Dentist,126.74065705087122,37.49090182418163,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,수변로52번길,6,494,2022-05-01 12:37:48,"의료시설||병원||병원,의원||치과||치과-일반",False
13221,13222,588797,반석치과의원,,Banseok Dental Clinic,Professional and Other Places,Dentist,126.72665601076793,37.52572088195702,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,아나지로,311,388-2,2022-08-12 13:15:03,"의료시설||병원||병원,의원||치과||치과-일반",False
13229,13230,362955,튼튼치과의원,,strong dental clinic,Professional and Other Places,Dentist,126.72226107564394,37.53108377756751,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,계양대로,81,864-39,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
13457,13458,714462,연수모아치과의원,,Yeonsu Moa Dental Clinic,Professional and Other Places,Dentist,126.67202165267692,37.40783968782336,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,앵고개로,256,936-5,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
13778,13779,895131,두치과,두진규치과,dentistry,Professional and Other Places,Dentist,126.68270458446288,37.49497729408689,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,원적로,100,30-49,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
14253,14254,4357546,비앤비치과의원,,B&Beach Clinic,Professional and Other Places,Dentist,126.70829889999995,37.4860720999998,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,마장로,82,170-62,2022-08-24 14:41:06,"의료시설||병원||병원,의원||치과||치과-일반",False
14461,14462,4354160,예미담치과의원,,Yemidam Dental Clinic,Professional and Other Places,Dentist,126.65305880752491,37.53395466660911,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라라임로,71,162-10,2022-08-24 14:41:06,"의료시설||병원||병원,의원||치과||치과-일반",False
14552,14553,923460,김윤태치과의원,,Kim Yun-tae Dental Clinic,Professional and Other Places,Dentist,126.63406499960084,37.47580000120839,대한민국,KOR,KOR,인천광역시,동구,,송현동,,화도진로,33-1,98-220,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
14563,14564,3122555,이소연치과,,Soyeon Lee Dental Clinic,Professional and Other Places,Dentist,126.67090456998388,37.408762189372155,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,앵고개로,242,937,2020-01-14 23:37:43,"의료시설||병원||병원,의원||치과||치과-일반",False
14606,14607,625349,이&김치과의원,이앤김치과의원,Lee & Kimchi Clinic,Professional and Other Places,Dentist,126.67641590777988,37.543660167444585,대한민국,KOR,KOR,인천광역시,서구,,심곡동,,서곶로,293,248,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
14895,14896,3127162,아이비치과의원,,Ivy Clinic,Professional and Other Places,Dentist,126.6522119999999,37.55872899999978,대한민국,KOR,KOR,인천광역시,서구,,경서동,,경서로69번길,12,728-2,2022-08-02 16:47:12,"의료시설||병원||병원,의원||치과||치과-일반",False
15359,15360,586613,강남치과의원,,Gangnam Dental Clinic,Professional and Other Places,Dentist,126.67281971296188,37.51230294395459,대한민국,KOR,KOR,인천광역시,서구,,석남동,,가정로,308,456-6,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
15898,15899,374771,주안굿모닝치과의원,굿모닝치과의원,Juan Good Morning Dental Clinic,Professional and Other Places,Dentist,126.67924264373892,37.467150990156576,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,길파로,15,14-53,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
16119,16120,1266639,이아름다운치과의원,,Lee Beautiful Dental Clinic,Professional and Other Places,Dentist,126.73730289165094,37.44328374258836,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,장승남로,46,1041-5,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
16147,16148,617991,하치과의원,,Hachi Dental Clinic,Professional and Other Places,Dentist,126.70482868446588,37.492182040304975,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,마장로,156,369-262,2022-08-16 16:52:33,"의료시설||병원||병원,의원||치과||치과-일반",False
16446,16447,3457967,미래치과의원,,Future Dental Clinic,Professional and Other Places,Dentist,126.73447020194295,37.53388623799811,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,장제로,738,899-1,2019-11-14 23:24:16,"의료시설||병원||병원,의원||치과||치과-일반",False
16490,16491,4005897,블루앤치과의원, ,Blue & Dental Clinic,Professional and Other Places,Dentist,126.74859979999997,37.423638399999774,대한민국,KOR,KOR,인천광역시,남동구,,서창동,,서창남순환로216번길,12,703-1,2022-09-06 15:18:26,"의료시설||병원||병원,의원||치과||치과-일반",False
16755,16756,27017904,서울바로치과의원,,Seoul Baro Dental Clinic,Professional and Other Places,Dentist,126.71259949999988,37.59390279999983,대한민국,KOR,KOR,인천광역시,서구,,원당동,,이음대로,378,468,2022-08-30 9:43:30,"의료시설||병원||병원,의원||치과||치과-일반",False
16813,16814,9437,예본플란트치과의원,예본치과의원,Yebon Plant Dental Clinic,Professional and Other Places,Dentist,126.67487128448316,37.42287721795055,대한민국,KOR,KOR,인천광역시,연수구,,연수동,,새말로,27,536,2022-08-24 14:41:06,"의료시설||병원||병원,의원||치과||치과-일반",False
17822,17823,3253817,퍼스트치과의원,,First Dental Clinic ,Professional and Other Places,Dentist,126.72653834284193,37.399192630828566,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,논고개로,80,733-5,2022-08-16 16:52:33,"의료시설||병원||병원,의원||치과||치과-일반",False
17941,17942,1871296,바로본치과의원,,Barobon Dental Clinic,Professional and Other Places,Dentist,126.70096948104992,37.47241553070488,대한민국,KOR,KOR,인천광역시,부평구,,십정동,,열우물로,44,402-6,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
17956,17957,469727,보인미소치과의원,,Boin Smile Dental Clinic,Professional and Other Places,Dentist,126.69112663977988,37.45753158478248,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,구월로,8-1,1542-21,2022-08-16 16:52:33,"의료시설||병원||병원,의원||치과||치과-일반",False
18461,18462,20006391,미담치과,,Midam Dental Clinic,Professional and Other Places,Dentist,126.65994793786788,37.602706910109625,대한민국,KOR,KOR,인천광역시,서구,,마전동,,검단로502번길,1,983-1,2022-05-01 12:37:48,"의료시설||병원||병원,의원||치과||치과-일반",False
18462,18463,283624,전영섭치과의원,,Jeon Young-seop Dental Clinic,Professional and Other Places,Dentist,126.61736769999985,37.47507199999968,대한민국,KOR,KOR,인천광역시,중구,,선린동,,제물량로,261,46-2,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
18496,18497,654474,정성욱치과의원,,Seongwook Jung Dental Clinic,Professional and Other Places,Dentist,126.73916410437376,37.486110965119515,대한민국,KOR,KOR,인천광역시,부평구,,부개동,,동수로,186,363-3,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
18728,18729,27124017,성모치과,,St. Mary's Dental Clinic,Professional and Other Places,Dentist,126.65996829700488,37.48586441691429,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,백범로,884,178-379,2022-05-01 12:37:48,"의료시설||병원||병원,의원||치과||치과-일반",False
18840,18841,897781,김형수치과의원,,Kim Hyung-soo Dental Clinic,Professional and Other Places,Dentist,126.73620050910397,37.44323103659649,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,장승남로,36,1041,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
18982,18983,98507,조재민치과의원,,Jaemin Cho Dental Clinic,Professional and Other Places,Dentist,126.70898061242389,37.48777182513668,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,경원대로,1244,310-109,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
19075,19076,648592,큐치과의원,,Q Dental Clinic,Professional and Other Places,Dentist,126.73414898579092,37.53106557800523,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,장제로,708,901-4,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
19174,19175,1252436,다나치과의원,,Tanah Dental Clinic,Professional and Other Places,Dentist,126.66368986340188,37.442626181791056,대한민국,KOR,KOR,인천광역시,미추홀구,,학익동,,한나루로,389,259-11,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
19237,19238,4325709,의료법인 예현의료재단 세종치과의원,,Medical corporation Yehyeon Medical Foundation Sejong Dental Clinic,Professional and Other Places,Dentist,126.7203104094749,37.45999502405097,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,호구포로,872,1250-3,2022-08-16 16:52:33,"의료시설||병원||병원,의원||치과||치과-일반",False
19833,19834,4326130,엔치과의원,,dental clinic,Professional and Other Places,Dentist,126.73275130730994,37.46151393485978,대한민국,KOR,KOR,인천광역시,남동구,,만수동,,만수서로,60,1118-1,2022-08-12 13:15:03,"의료시설||병원||병원,의원||치과||치과-일반",False
20264,20265,3123162,연수부부치과의원,,Yeonsu Couple Dental Clinic,Professional and Other Places,Dentist,126.67163519999188,37.408185961713066,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,앵고개로,250,936-1,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
20764,20765,288691,탑치과의원,,Top Dental Clinic,Professional and Other Places,Dentist,126.67873589469087,37.44830559998474,대한민국,KOR,KOR,인천광역시,미추홀구,,주안동,,인하로,275,1462-18,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
21036,21037,1101863,임창하치과의원,,Im Changha Dental Clinic,Professional and Other Places,Dentist,126.72210266345392,37.5278588941904,대한민국,KOR,KOR,인천광역시,계양구,,작전동,,계양대로,45,438-1,2022-08-18 12:00:50,"의료시설||병원||병원,의원||치과||치과-일반",False
21067,21068,1869606,서울보스톤치과의원,,Seoul Boston Dental Clinic ,Professional and Other Places,Dentist,126.68494029999992,37.49398369999981,대한민국,KOR,KOR,인천광역시,서구,,가좌동,,건지로,402,7,2022-08-16 16:52:33,"의료시설||병원||병원,의원||치과||치과-일반",False
